Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.388673,2.648076,2.248163,2.572417,0.699972,15616225
1985-02-01,2.561608,2.594034,2.496757,2.583225,0.702912,5866929
1985-03-01,2.583225,2.594034,2.410290,2.572417,0.699972,8943219
1985-04-01,2.572417,2.821012,2.572417,2.723735,0.741146,6558517
1985-05-01,2.723735,3.069607,2.648076,3.058798,0.832319,7151803
1985-06-01,3.058798,3.350627,3.004756,3.318201,0.902904,8435514
1985-07-01,3.318201,3.437095,3.026373,3.134457,0.852906,12180261
1985-08-01,3.134457,3.329010,3.058798,3.296585,0.902296,4576276
1985-09-01,3.296585,3.361435,2.939905,3.123649,0.854962,6478718
1985-10-01,3.123649,3.296585,2.961522,3.242542,0.887504,6260140
1985-11-01,3.242542,3.620839,3.156074,3.610030,0.994676,6729679
1985-12-01,3.599222,4.085603,3.512754,3.674881,1.012544,9590859
1986-01-01,3.674881,4.063986,3.361435,4.063986,1.119754,14119715
1986-02-01,4.063986,4.301773,3.934284,4.301773,1.191988,8666817
1986-03-01,4.301773,4.539559,4.215305,4.528751,1.254882,12489049
1986-04-01,4.474708,4.755728,4.063986,4.658452,1.290821,32964882
1986-05-01,4.658452,4.885430,4.571984,4.755728,1.324234,18667070
1986-06-01,4.755728,5.112408,4.647644,5.079983,1.414523,9143293
1986-07-01,5.079983,5.361003,4.712495,4.971898,1.384427,12556126
1986-08-01,4.961089,5.436662,4.939473,5.339386,1.493176,10743891
1986-09-01,5.339386,5.339386,4.290964,4.626027,1.293684,20306989
1986-10-01,4.626027,5.177259,4.626027,5.079983,1.420633,10733481
1986-11-01,5.079983,5.285344,4.928664,5.188067,1.454436,14426187
1986-12-01,5.177259,5.555556,4.950281,4.950281,1.387774,19321070
1987-01-01,4.993515,5.620406,4.993515,5.188067,1.454436,32765384
1987-02-01,5.188067,5.404237,5.036749,5.144834,1.449319,19434986
1987-03-01,5.209684,5.879810,5.188067,5.490705,1.546753,24890774
1987-04-01,5.404237,5.533939,4.366623,4.669261,1.315349,21528828
1987-05-01,4.669261,4.971898,4.323390,4.626027,1.309662,21961938
1987-06-01,4.669261,5.663640,4.647644,5.469088,1.548339,23516273
1987-07-01,5.404237,5.447471,5.015132,5.188067,1.468780,19732782
1987-08-01,5.166450,6.247298,5.123217,6.117596,1.740075,23767812
1987-09-01,6.204064,6.571552,5.512322,6.377000,1.813860,20502434
1987-10-01,6.398617,6.398617,3.912668,4.690878,1.334263,25234259
1987-11-01,4.669261,4.712495,3.804583,3.891051,1.112732,17725676
1987-12-01,3.977518,4.755728,3.610030,4.388240,1.254914,18751493
1988-01-01,4.431474,4.798962,4.107220,4.582793,1.310551,11786471
1988-02-01,4.626027,5.015132,4.215305,4.496325,1.294136,18460056
1988-03-01,4.474708,4.669261,4.301773,4.474708,1.287915,21434575
1988-04-01,4.431474,4.755728,4.172071,4.626027,1.331467,13712625
1988-05-01,4.604410,5.015132,4.366623,5.015132,1.452928,15042021
1988-06-01,4.993515,5.274535,4.842196,5.231301,1.515554,21328753
1988-07-01,5.209684,5.447471,4.885430,5.447471,1.578181,14323835
1988-08-01,5.404237,5.512322,5.166450,5.296152,1.534342,11285130
1988-09-01,5.252918,5.512322,5.188067,5.274535,1.536224,10619562
1988-10-01,5.274535,5.879810,5.231301,5.490705,1.599185,13449518
1988-11-01,5.490705,5.512322,4.669261,4.885430,1.431588,17164197
1988-12-01,4.885430,5.036749,4.798962,5.015132,1.469594,13083489
1989-01-01,5.015132,5.598789,5.015132,5.533939,1.621621,19210044
1989-02-01,5.512322,5.577173,5.036749,5.166450,1.523220,9752769
1989-03-01,5.166450,5.642023,5.079983,5.620406,1.657060,17368319
1989-04-01,5.620406,5.987895,5.469088,5.966278,1.759032,11538403
1989-05-01,5.923044,6.182447,5.750108,5.793342,1.708046,23202282
1989-06-01,5.814959,6.377000,5.490705,6.160830,1.826557,37158925
1989-07-01,6.204064,6.722871,6.139213,6.701254,1.986780,18243790
1989-08-01,6.722871,6.766105,6.139213,6.593169,1.964663,23630769
1989-09-01,6.593169,6.939040,6.485084,6.852572,2.041960,19834555
1989-10-01,6.874189,7.025508,5.533939,6.939040,2.067728,27489430
1989-11-01,6.982274,7.220061,6.658020,6.830955,2.043404,12903071
1989-12-01,6.830955,7.846952,6.809339,7.392996,2.211532,19844004
1990-01-01,7.425422,7.555123,6.063554,6.290532,1.881743,14103523
1990-02-01,6.322957,6.841764,5.901427,6.841764,2.059054,13137073
1990-03-01,6.841764,7.457847,6.582361,7.295720,2.195674,15831331
