name,05/31/2025,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
"Total Assets","20,933,900,000","20,862,300,000","22,052,600,000","22,435,100,000","22,195,600,000","22,304,000,000","22,213,800,000","10,389,500,000","10,096,300,000","13,390,600,000","17,437,800,000","19,319,500,000","20,405,300,000","11,441,900,000","11,408,700,000","11,738,000,000","11,073,300,000","13,682,500,000","11,835,500,000","11,970,400,000","13,042,800,000","14,222,200,000","15,071,400,000","15,570,900,000","16,480,800,000","12,196,600,000","12,081,500,000","11,808,500,000","11,277,100,000","11,196,600,000","10,801,000,000","10,721,800,000","9,988,700,000","9,758,700,000","9,420,300,000","4,804,200,000","4,278,200,000","3,042,900,000","2,482,500,000","1,819,700,000"
"	Current Assets","3,071,000,000","3,149,500,000","3,385,000,000","3,033,700,000","2,702,100,000","2,885,900,000","2,733,800,000","1,938,900,000","2,013,200,000","3,576,700,000","3,563,300,000","4,230,800,000","4,379,800,000","3,218,800,000","3,899,300,000","3,960,100,000","3,336,600,000","6,082,000,000","5,006,000,000","4,790,300,000","4,774,800,000","5,149,300,000","6,059,600,000","6,433,900,000","7,362,600,000","5,859,900,000","5,591,500,000","5,537,700,000","5,205,000,000","5,566,900,000","5,140,200,000","5,143,300,000","4,486,700,000","4,371,200,000","4,342,900,000","3,347,800,000","3,160,400,000","2,076,200,000","1,707,100,000","1,283,500,000"
"		Cash, Cash Equivalents & Short Term Investments","68,000,000","77,700,000","93,300,000","83,300,000","79,200,000","553,300,000","236,600,000","128,000,000","251,400,000","798,100,000","164,700,000","141,300,000","183,900,000","103,000,000","972,400,000","953,200,000","243,200,000","140,900,000","730,800,000","331,600,000","207,600,000","608,600,000","628,600,000","157,900,000","198,100,000","157,600,000","62,800,000","108,400,000","105,800,000","113,700,000","60,000,000","166,400,000","257,000,000","354,800,000","715,700,000","120,500,000","380,400,000","167,800,000","194,900,000","128,600,000"
"			Cash And Cash Equivalents","68,000,000","77,700,000","93,300,000","83,300,000","79,200,000","553,300,000","236,600,000","128,000,000","251,400,000","798,100,000","164,700,000","141,300,000","183,900,000","103,000,000","972,400,000","953,200,000","243,200,000","140,900,000","730,800,000","331,600,000","207,600,000","608,600,000","628,600,000","157,900,000","198,100,000","157,600,000","62,800,000","108,400,000","105,800,000","113,700,000","60,000,000","166,400,000","257,000,000","354,800,000","715,700,000","120,500,000","380,400,000","167,800,000","194,900,000","128,600,000"
"		Receivables","770,000,000","871,800,000","952,800,000","867,400,000","793,900,000","860,800,000","818,200,000","569,400,000","563,400,000","650,100,000","739,000,000","1,058,400,000","1,279,400,000","924,800,000","849,400,000","849,600,000","755,300,000","890,600,000","819,000,000","1,178,100,000","1,260,800,000","1,384,400,000","800,900,000","1,276,400,000","1,605,400,000","1,241,500,000","1,449,400,000","1,546,900,000","1,367,600,000","1,428,400,000","1,540,000,000","1,589,600,000","1,421,400,000","1,290,400,000","1,228,900,000","1,300,000,000","1,094,900,000","754,400,000","602,400,000","478,300,000"
"			Accounts receivable","770,000,000","871,800,000","952,800,000","867,400,000","793,900,000","860,800,000","818,200,000","569,400,000","563,400,000","650,100,000","739,000,000","1,058,400,000","1,279,400,000","924,800,000","857,200,000","858,100,000",,"890,600,000","819,000,000","1,178,100,000","1,260,800,000","1,324,100,000","800,900,000","1,276,400,000","1,605,400,000","1,241,500,000","1,449,400,000",,,,,,,,,,,,,
"				Gross Accounts Receivable","773,600,000","874,800,000","955,500,000","871,300,000","797,100,000","863,400,000","835,000,000","571,100,000","566,500,000","653,300,000","742,800,000","1,062,400,000","1,287,000,000","930,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"				Allowance For Doubtful Accounts Receivable","-3,600,000","-3,000,000","-2,700,000","-3,900,000","-3,200,000","-2,600,000","-3,300,000","-1,700,000","-3,100,000","-3,200,000","-3,800,000","-4,000,000","-7,600,000","-5,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"			Other Receivables",,,,,,,,,,,,"162,400,000",,,,,,,,,,"60,300,000",,,,,,,,,,,,,,,,,,
"			Receivables Adjustments Allowances",,,,,,,,,,,,,,"-5,900,000","-7,800,000","-8,500,000",,,,,,,,,,,,,,,,,,,,,,,,
"		Inventory","2,048,300,000","1,981,500,000","2,212,200,000","1,966,700,000","1,709,700,000","1,364,800,000","1,548,900,000","988,700,000","927,900,000","1,044,100,000","1,642,600,000","2,077,000,000","2,340,900,000","1,869,600,000","1,803,400,000","1,597,900,000","1,821,700,000","1,926,300,000","1,625,100,000","2,130,600,000","2,153,600,000","2,580,900,000","2,455,600,000","4,077,100,000","5,071,400,000","4,056,000,000","3,782,500,000","3,540,800,000","3,342,900,000","3,573,400,000","3,167,300,000","3,170,400,000","2,439,200,000","2,373,900,000","2,019,800,000","1,648,800,000","1,383,100,000","1,096,100,000","864,000,000","640,700,000"
"			Raw Materials","411,800,000","403,400,000","470,000,000","475,400,000","362,800,000","364,900,000","338,900,000","249,100,000","229,400,000","254,300,000","444,200,000","623,100,000","828,200,000","650,700,000","727,400,000","561,700,000","719,500,000","651,400,000","458,500,000","985,000,000","1,035,700,000","1,132,200,000","884,400,000","1,586,700,000",,,,,,,,,,,,,,,,
"			Work in Process","243,500,000","277,100,000","224,500,000","164,800,000","125,100,000","125,200,000","126,900,000","91,800,000","91,900,000","110,300,000","125,300,000","118,600,000","118,100,000","96,500,000","83,100,000","95,900,000","54,800,000","100,000,000","94,600,000","97,400,000","62,000,000","75,000,000","91,600,000","103,500,000",,,,,,,,,,,,,,,,
"			Finished Goods","1,393,000,000","1,301,000,000","1,517,700,000","1,326,500,000","1,221,800,000","874,700,000","1,083,100,000","647,800,000","606,600,000","679,500,000","1,073,100,000","1,335,300,000","1,394,600,000","1,122,400,000","992,900,000","940,300,000","1,047,400,000","1,174,900,000","1,001,300,000","923,600,000","1,055,900,000","1,201,500,000","1,220,700,000","2,285,000,000",,,,,,,,,,,,,,,,
"			Other Inventories",,,,,,,,,,,,,,,,,,"71,600,000","70,700,000","124,600,000","139,400,000","172,200,000","258,900,000","101,900,000",,,,,,,,,,,,,,,,
"		Prepaid Assets",,,,"116,300,000","95,000,000","93,900,000","93,400,000","184,900,000","228,700,000","148,600,000","168,200,000","322,400,000","510,800,000","321,400,000","274,100,000","307,300,000","269,500,000","451,600,000","319,200,000","889,000,000","631,300,000","439,800,000","669,300,000","576,400,000","487,700,000","404,800,000","296,800,000",,,,,,,,,,,,,
"		Assets Held for Sale Current","94,100,000","133,500,000","34,300,000","27,000,000","24,300,000","13,100,000","36,700,000","67,900,000","41,800,000","935,800,000","848,800,000","631,700,000","64,800,000",,"0","252,100,000",,,,,,,,,,,,,,,,,,,,,,,,
"		Other Current Assets","90,600,000","85,000,000","92,400,000","116,300,000","95,000,000","93,900,000","93,400,000","184,900,000","228,700,000","148,600,000","310,500,000","322,400,000","510,800,000","321,400,000",,"243,500,000","246,900,000","2,672,600,000","1,511,900,000","261,000,000","521,500,000","135,600,000","1,505,200,000","346,100,000",,,"315,900,000","341,600,000","388,700,000","451,400,000","372,900,000","216,900,000","369,100,000","352,100,000","378,500,000","278,500,000","302,000,000","57,900,000","45,800,000","35,900,000"
"	Total non-current assets","17,862,900,000","17,712,800,000","18,667,600,000","19,401,400,000","19,493,500,000","19,418,100,000","19,480,000,000","8,450,600,000","8,083,100,000","9,813,900,000","13,874,500,000","15,088,700,000","16,025,500,000","8,223,100,000","7,509,400,000","7,777,900,000","7,736,700,000","7,600,500,000","6,829,500,000","7,180,100,000","8,268,000,000","9,072,900,000","9,011,800,000","9,137,000,000","9,118,200,000","6,336,700,000","6,490,000,000","6,270,800,000","6,072,100,000","5,629,700,000","5,660,800,000","5,578,500,000","5,502,000,000","5,387,500,000","5,077,400,000","1,456,400,000","1,117,800,000","966,700,000","775,400,000","536,200,000"
"		Net PPE","2,835,900,000","2,821,000,000","2,736,400,000","2,737,200,000","2,572,000,000","2,365,400,000","2,327,400,000","1,589,500,000","1,633,100,000","1,697,800,000","2,644,600,000","3,636,000,000","3,757,600,000","2,741,900,000","2,670,100,000","2,602,400,000","2,559,200,000","2,482,300,000","2,206,500,000","2,268,400,000","2,365,000,000","2,837,400,000","2,678,300,000","3,449,900,000","3,884,700,000","3,584,000,000","3,614,200,000","3,449,700,000","3,242,500,000","2,820,500,000","2,796,000,000","2,586,300,000","2,388,200,000","2,276,800,000","1,941,500,000","1,034,700,000","825,500,000","696,100,000","601,900,000","427,100,000"
"			Gross PPE","6,574,100,000","6,314,300,000","6,134,800,000","5,896,300,000","5,564,800,000","5,127,800,000","4,906,300,000","4,008,500,000","4,093,200,000","4,199,400,000","6,068,200,000","7,108,800,000","7,086,900,000","5,995,700,000","5,698,100,000","5,352,600,000","5,126,000,000","5,010,800,000","4,832,000,000","4,829,500,000","4,786,900,000","5,558,100,000","5,111,900,000","6,378,900,000","6,851,100,000","6,441,800,000","6,213,800,000","5,761,100,000","5,274,300,000","4,735,500,000","4,537,800,000","4,150,400,000","3,719,000,000","3,364,300,000","2,740,100,000","1,703,600,000","1,397,700,000","1,166,600,000","1,002,100,000","660,000,000"
"				Properties","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
"				Land And Improvements","160,700,000","158,400,000","164,400,000","173,000,000","154,600,000","139,200,000","141,700,000","107,100,000","103,200,000","106,900,000","194,200,000","218,400,000","254,400,000","202,100,000","201,300,000","168,600,000","193,600,000","198,700,000","115,000,000","142,500,000","135,100,000","160,600,000","165,000,000","274,600,000","125,400,000","147,100,000","161,200,000",,,,,,,,,,,,,
"				Buildings And Improvements","5,516,300,000","5,232,400,000","4,974,900,000","4,861,900,000","4,446,000,000","4,088,600,000","3,915,100,000","3,205,900,000","3,140,900,000","3,207,400,000","4,822,300,000","5,625,800,000","5,600,500,000","4,729,200,000","4,440,100,000","4,093,000,000","3,845,500,000","3,780,900,000","3,602,500,000","3,770,300,000","3,693,600,000","4,389,600,000","4,196,400,000","5,175,900,000",,"5,430,300,000","5,205,800,000",,,,,,,,,,,,,
"				Machinery Furniture Equipment","670,000,000","676,500,000","681,100,000","677,800,000","664,500,000","656,200,000","677,500,000","610,200,000","724,200,000","748,700,000","807,400,000","902,400,000","900,500,000","905,200,000","871,900,000","843,000,000","815,600,000","809,500,000","835,900,000","809,400,000","792,200,000","688,300,000","582,700,000","632,100,000","5,776,900,000",,,,,,,,,,,,,,,
"				Other Properties",,,,,,,,,,,,,,,,,,,,,,,,,"640,300,000","537,000,000","426,900,000",,,,,,,,,,,,,
"				Construction in Progress","227,100,000","247,000,000","314,400,000","183,600,000","299,700,000","243,800,000","172,000,000","85,300,000","124,900,000","136,400,000","244,300,000","362,200,000","331,500,000","159,200,000","184,800,000","248,000,000","271,300,000","221,700,000","278,600,000","144,000,000","166,000,000","319,600,000","167,800,000","296,300,000","308,500,000","327,400,000","419,900,000",,,,,,,,,,,,,
