name,ttm,05/31/2025,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
"Total Revenue","11,181,300,000","11,612,800,000","12,050,900,000","12,277,000,000","11,535,900,000","11,184,700,000","11,054,400,000","9,538,400,000","7,938,300,000","7,826,900,000","8,664,100,000","9,034,000,000","11,838,200,000","13,469,300,000","13,331,100,000","12,386,100,000","12,014,900,000","12,426,100,000","11,563,500,000","10,531,700,000","10,251,400,000","11,383,800,000","10,926,300,000","16,533,600,000","22,335,500,000","25,060,500,000","25,534,600,000","24,844,400,000","24,544,600,000","24,445,200,000","23,899,300,000","24,108,900,000","23,512,200,000","21,519,100,000","21,219,000,000","19,504,700,000","15,501,200,000","11,340,400,000","9,475,000,000","9,001,600,000","5,911,000,000"
"	Operating Revenue","11,181,300,000","11,612,800,000","12,050,900,000","12,277,000,000","11,535,900,000","11,184,700,000","11,054,400,000","9,538,400,000","7,938,300,000","7,826,900,000","8,664,100,000","9,034,000,000","11,838,200,000","13,469,300,000","13,331,100,000","12,386,100,000","12,014,900,000","12,426,100,000","11,563,500,000","10,531,700,000","10,251,400,000","11,383,800,000","10,926,300,000","16,533,600,000","22,335,500,000","25,060,500,000","25,534,600,000","24,844,400,000","24,544,600,000","24,445,200,000","23,899,300,000","24,108,900,000","23,512,200,000","21,519,100,000","21,219,000,000","19,504,700,000","15,501,200,000","11,340,400,000","9,475,000,000","9,001,600,000","5,911,000,000"
"Cost of Revenue","8,479,800,000","8,609,300,000","8,717,500,000","9,012,200,000","8,697,100,000","8,005,500,000","7,984,800,000","6,885,400,000","5,586,800,000","5,483,100,000","6,234,900,000","6,737,800,000","8,910,800,000","10,104,400,000","10,532,100,000","9,483,500,000","8,953,700,000","9,644,100,000","8,849,400,000","7,838,700,000","7,710,100,000","8,550,300,000","8,136,600,000","13,146,200,000","18,775,000,000","21,288,300,000","22,182,900,000","21,540,500,000","20,962,600,000","20,314,800,000","19,992,000,000","20,402,600,000","20,157,400,000","18,363,400,000","17,875,700,000","16,681,400,000","13,716,900,000","9,772,300,000","8,299,800,000","7,819,800,000","5,096,500,000"
"Gross Profit","2,701,500,000","3,003,500,000","3,333,400,000","3,264,800,000","2,838,800,000","3,179,200,000","3,069,600,000","2,653,000,000","2,351,500,000","2,343,800,000","2,429,200,000","2,296,200,000","2,927,400,000","3,364,900,000","2,799,000,000","2,902,600,000","3,061,200,000","2,782,000,000","2,714,100,000","2,693,000,000","2,541,300,000","2,833,500,000","2,789,700,000","3,387,400,000","3,560,500,000","3,772,200,000","3,351,700,000","3,303,900,000","3,582,000,000","4,130,400,000","3,907,300,000","3,706,300,000","3,354,800,000","3,155,700,000","3,343,300,000","2,823,300,000","1,784,300,000","1,568,100,000","1,175,200,000","1,181,800,000","814,500,000"
"Operating Expense","1,371,300,000","1,537,300,000","1,487,500,000","1,431,900,000","1,492,800,000","1,403,000,000","1,622,500,000","1,473,400,000","1,398,400,000","1,474,000,000","2,024,600,000","1,383,400,000","1,778,900,000","2,065,900,000","1,980,300,000","1,499,000,000","1,819,400,000","1,683,600,000","1,764,300,000","1,774,100,000","1,842,400,000","1,717,900,000","1,699,800,000","1,901,100,000","1,972,000,000","2,274,000,000","2,108,100,000","1,910,900,000","2,255,800,000","2,807,200,000","2,686,000,000","2,605,700,000","2,385,800,000","2,291,300,000","2,455,600,000","2,033,700,000","1,281,000,000","1,123,700,000","878,100,000","860,100,000","594,300,000"
"	Selling General and Administrative","1,371,300,000","1,537,300,000","1,487,500,000","1,431,900,000","1,492,800,000","1,403,000,000","1,622,500,000","1,473,400,000","1,398,400,000","1,474,000,000","2,024,600,000","1,383,400,000","1,778,900,000","2,065,900,000","1,980,300,000","1,499,000,000","1,819,400,000","1,683,600,000","1,764,300,000","1,774,100,000","1,842,400,000","1,717,900,000","1,699,800,000","1,901,100,000","1,972,000,000","2,274,000,000","2,108,100,000","1,910,900,000","1,866,800,000","2,381,000,000","2,278,100,000","2,229,900,000","2,091,000,000","2,014,300,000","2,136,300,000","1,782,900,000","1,151,300,000","1,022,000,000","788,600,000","782,700,000","540,700,000"
"		General & Administrative Expense","1,622,500,000",,"2,480,600,000","2,189,500,000","1,492,800,000","1,403,000,000","1,622,500,000","1,473,400,000","1,398,400,000","1,474,000,000","2,024,600,000","1,383,400,000","2,767,100,000","2,065,900,000","1,980,300,000","1,499,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
"			Salaries and Wages",,,"-10,300,000","-24,200,000","-67,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			Other G and A","1,622,500,000",,"2,480,600,000","2,189,500,000","1,492,800,000","1,403,000,000","1,622,500,000","1,473,400,000","1,398,400,000","1,474,000,000","2,024,600,000","1,383,400,000","2,767,100,000","2,065,900,000","1,980,300,000","1,499,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
"	Depreciation Amortization Depletion",,,,,,,,,,,,,,,,,,,,,,,,,,,"473,100,000","499,800,000","389,000,000","426,200,000","407,900,000","375,800,000","294,800,000","277,000,000","319,300,000","250,800,000","129,700,000","101,700,000","89,500,000","77,400,000","53,600,000"
