name,05/31/2025,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
"Total Assets","33,071,100,000","31,469,900,000","31,451,700,000","31,090,100,000","31,841,900,000","30,806,700,000","30,111,200,000","30,624,000,000","21,812,600,000","21,712,300,000","21,832,000,000","23,145,700,000","22,658,000,000","21,096,800,000","18,674,500,000","17,678,900,000","17,874,800,000","19,041,600,000","18,183,700,000","18,075,000,000","18,066,000,000","18,448,000,000","18,227,000,000","16,540,000,000","5,091,000,000","4,574,000,000","4,140,700,000","3,861,400,000","3,902,400,000","3,294,700,000","3,358,200,000","5,198,300,000","4,650,800,000","4,305,000,000","3,901,800,000","3,289,500,000","2,888,100,000","2,671,900,000","2,280,400,000","2,086,200,000"
"	Current Assets","5,275,700,000","4,580,900,000","5,176,400,000","5,089,800,000","5,754,500,000","5,121,300,000","4,186,500,000","4,123,700,000","4,061,400,000","3,937,200,000","3,685,600,000","4,393,500,000","4,298,900,000","3,691,400,000","3,902,000,000","3,480,000,000","3,534,900,000","3,620,000,000","3,053,700,000","3,041,000,000","3,055,000,000","3,215,000,000","3,179,000,000","3,437,000,000","1,408,000,000","1,190,000,000","1,102,500,000","1,035,300,000","1,011,300,000","995,100,000","896,900,000","1,129,200,000","1,076,900,000","1,034,600,000","1,082,300,000","910,100,000","841,300,000","985,900,000","865,900,000","804,400,000"
"		Cash, Cash Equivalents & Short Term Investments","363,900,000","418,000,000","702,700,000","819,200,000","1,865,200,000","1,677,800,000","450,000,000","399,000,000","766,100,000","763,700,000","334,200,000","867,300,000","741,400,000","471,200,000","619,600,000","673,200,000","773,200,000","661,000,000","423,600,000","647,000,000","573,000,000","751,000,000","703,000,000","975,000,000","64,000,000","26,000,000","3,900,000","6,400,000","12,800,000","20,600,000","13,000,000","200,000","100,000,000","500,000","39,800,000","700,000","10,600,000","14,600,000","179,700,000","190,300,000"
"			Cash And Cash Equivalents","363,900,000","418,000,000","585,500,000","569,400,000","1,505,200,000","1,677,800,000","450,000,000","399,000,000","766,100,000","763,700,000","334,200,000","867,300,000","741,400,000","471,200,000","619,600,000","673,200,000","749,800,000","661,000,000","417,100,000","647,000,000","573,000,000","751,000,000","703,000,000","975,000,000","64,000,000","26,000,000","3,900,000","6,400,000","12,800,000","20,600,000","13,000,000","200,000","100,000,000","500,000","39,800,000","700,000","10,600,000","14,600,000","179,700,000","190,300,000"
"			Other Short Term Investments",,"0","117,200,000","249,800,000","360,000,000","0",,,,,,,,,,"4,800,000","23,400,000","13,300,000","6,500,000",,,,,,,,,,,,,,,,,,,,,
"		Receivables","1,937,100,000","1,917,800,000","2,014,000,000","1,961,000,000","1,815,100,000","1,770,900,000","1,972,100,000","1,899,100,000","1,628,800,000","1,564,700,000","1,616,400,000","1,670,800,000","1,687,100,000","1,461,900,000","1,405,100,000","1,041,600,000","1,146,400,000","1,081,600,000","1,162,100,000","1,024,000,000","1,034,000,000","1,010,000,000","980,000,000","1,010,000,000","664,000,000","501,000,000","490,600,000","395,100,000","419,100,000","337,800,000","277,300,000","309,700,000","287,400,000","291,900,000","306,300,000","258,700,000","254,600,000","230,000,000","236,700,000","220,000,000"
"			Accounts receivable","1,795,900,000","1,696,200,000","1,683,200,000","1,692,100,000","1,638,500,000","1,615,100,000","1,679,700,000","1,684,200,000","1,430,100,000","1,360,800,000","1,386,700,000","1,483,600,000","1,446,400,000","1,323,600,000","1,162,300,000","1,041,600,000","953,400,000","1,081,600,000","952,900,000","912,000,000","1,034,000,000","1,010,000,000","980,000,000","1,010,000,000","664,000,000","501,000,000",,,,,,,,,,,,,,
"				Gross Accounts Receivable","1,829,100,000","1,721,200,000","1,710,100,000","1,720,400,000","1,674,500,000","1,648,300,000","1,708,500,000","1,712,600,000","1,454,400,000","1,390,400,000","1,412,000,000","1,504,600,000","1,466,300,000","1,345,300,000","1,178,600,000","1,057,400,000","971,200,000","1,098,000,000","969,300,000",,,,,,,,,,,,,,,,,,,,,
"				Allowance For Doubtful Accounts Receivable","-33,200,000","-25,000,000","-26,900,000","-28,300,000","-36,000,000","-33,200,000","-28,800,000","-28,400,000","-24,300,000","-29,600,000","-25,300,000","-21,000,000","-19,900,000","-21,700,000","-16,300,000","-15,800,000","-17,800,000","-16,400,000","-16,400,000",,,,,,,,,,,,,,,,,,,,,
"			Accrued Interest Receivable",,,,,,,,,,,,,,"15,000,000","29,000,000","64,900,000","73,400,000","103,500,000","116,700,000",,,,,,,,,,,,,,,,,,,,,
"			Other Receivables","141,200,000","221,600,000","330,800,000","268,900,000","176,600,000","155,800,000","292,400,000","214,900,000","198,700,000","203,900,000","229,700,000","187,200,000","240,700,000","138,300,000","213,800,000","150,200,000","119,600,000","183,800,000","92,500,000","112,000,000",,,,,,,,,,,,,,,,,,,,
"		Inventory","1,910,800,000","1,898,200,000","2,172,000,000","1,867,300,000","1,820,500,000","1,426,300,000","1,559,300,000","1,642,200,000","1,483,600,000","1,413,700,000","1,540,900,000","1,559,400,000","1,545,500,000","1,478,800,000","1,609,300,000","1,344,000,000","1,346,800,000","1,366,800,000","1,173,400,000","1,055,000,000","1,037,000,000","1,063,000,000","1,082,000,000","1,055,000,000","519,000,000","511,000,000","426,700,000","389,700,000","364,400,000","395,500,000","372,000,000","488,300,000","439,000,000","487,200,000","493,600,000","394,400,000","370,100,000","423,500,000","388,600,000","350,900,000"
"			Raw Materials","460,000,000","500,500,000","572,200,000","532,000,000","411,900,000","392,200,000","434,900,000","400,000,000","395,400,000","397,300,000","390,800,000","419,000,000","403,000,000","334,400,000","286,200,000","354,900,000","400,000,000","480,200,000","353,500,000","304,000,000","214,000,000","234,000,000","221,000,000",,"129,000,000",,,,,,,,,,,,,,,
"			Finished Goods","1,883,900,000","1,827,700,000","2,066,900,000","1,634,700,000","1,506,900,000","1,142,600,000","1,245,900,000","1,364,200,000","1,224,300,000","1,163,100,000","1,268,600,000","1,260,200,000","1,228,700,000","1,211,800,000","1,273,600,000","1,131,400,000","1,096,100,000","1,012,400,000","898,000,000","813,000,000","795,000,000","793,000,000","818,000,000",,"326,000,000",,,,,,,,,,,,,,,
"			Other Inventories","112,500,000","111,100,000","133,800,000","164,000,000","111,200,000","93,600,000","92,000,000","91,200,000","73,000,000","72,600,000","95,700,000","97,100,000","135,600,000","155,300,000","218,000,000",,,,,,"73,000,000","77,000,000","70,000,000",,"94,000,000",,,,,,,,,,,,,,,
"			Inventories Adjustments Allowances","-545,600,000","-541,100,000","-600,900,000","-463,400,000","-209,500,000","-202,100,000","-213,500,000","-213,200,000","-209,100,000","-219,300,000","-214,200,000","-216,900,000","-221,800,000","-222,700,000","-168,500,000","-142,300,000","-149,300,000","-125,800,000","-78,100,000","-62,000,000","-45,000,000","-41,000,000","-27,000,000",,"-30,000,000",,,,,,,,,,,,,,,
"		Prepaid Assets","269,000,000","266,100,000","244,400,000","213,500,000","221,700,000","194,500,000","189,000,000","165,600,000","168,900,000","177,900,000","169,300,000","187,200,000","168,600,000","178,300,000","161,000,000","378,500,000","197,500,000","510,600,000","172,300,000","168,000,000","203,000,000","222,000,000","184,000,000","156,000,000","99,000,000",,,,,,,,,,,,,,,
"		Current Deferred Assets",,,,,,,,,,,"100,100,000","74,100,000","128,000,000","59,700,000","27,300,000","42,700,000","15,600,000","0","67,200,000","50,000,000","208,000,000","169,000,000","230,000,000","241,000,000","62,000,000",,,,,,,,,,,,,,,
"			Current Deferred Taxes Assets",,,,,,,,,,,"100,100,000","74,100,000","128,000,000","59,700,000","27,300,000","42,700,000","15,600,000","0","67,200,000","50,000,000","208,000,000","169,000,000","230,000,000","241,000,000","62,000,000",,,,,,,,,,,,,,,
"		Assets Held for Sale Current","740,400,000","0","0","158,900,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		Hedging Assets Current","11,600,000","20,800,000","2,300,000","28,700,000","12,000,000","5,000,000","6,700,000","7,100,000","2,700,000","1,800,000","3,300,000","7,500,000","7,500,000","8,300,000","57,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		Other Current Assets","42,900,000","60,000,000","41,000,000","41,200,000","20,000,000","46,800,000","9,400,000","10,700,000","11,300,000","15,400,000","21,500,000","27,200,000","20,800,000","33,200,000","22,400,000","31,100,000","55,400,000","16,500,000","55,100,000","97,000,000",,,,,,"152,000,000","181,300,000","244,100,000","215,000,000","241,200,000","234,600,000","331,000,000","250,500,000","255,000,000","242,600,000","256,300,000","206,000,000","317,800,000","60,900,000","43,200,000"
"	Total non-current assets","27,795,400,000","26,889,000,000","26,275,300,000","26,000,300,000","26,087,400,000","25,685,400,000","25,924,700,000","26,500,300,000","17,751,200,000","17,775,100,000","18,146,400,000","18,752,200,000","18,359,100,000","17,405,400,000","14,772,500,000","14,198,900,000","14,339,900,000","15,421,600,000","15,130,000,000","15,034,000,000","15,011,000,000","15,233,000,000","15,048,000,000","13,103,000,000","3,683,000,000","3,384,000,000","3,038,200,000","2,826,100,000","2,891,100,000","2,299,600,000","2,461,300,000","4,069,100,000","3,573,900,000","3,270,400,000","2,819,500,000","2,379,400,000","2,046,800,000","1,686,000,000","1,414,500,000","1,281,800,000"
"		Net PPE","4,031,700,000","4,230,000,000","3,976,200,000","3,730,600,000","3,985,400,000","3,945,800,000","3,787,200,000","4,047,200,000","3,687,700,000","3,743,600,000","3,783,300,000","3,941,900,000","3,878,100,000","3,652,700,000","3,345,900,000","3,127,700,000","3,034,900,000","3,108,100,000","3,013,900,000","2,997,000,000","3,111,000,000","3,111,000,000","2,980,000,000","2,764,000,000","1,501,000,000","1,405,000,000","1,294,700,000","1,186,300,000","1,279,400,000","1,312,400,000","1,456,600,000","3,092,600,000","2,859,600,000","2,648,600,000","2,241,300,000","1,934,500,000","1,588,100,000","1,376,400,000","1,249,500,000","1,084,900,000"
"			Gross PPE","10,844,800,000","11,466,500,000","10,909,600,000","10,547,100,000","10,843,700,000","10,320,000,000","10,080,500,000","10,003,200,000","9,526,600,000","9,503,500,000","9,591,100,000","9,393,100,000","8,932,900,000","8,284,700,000","7,492,100,000","6,949,700,000","6,620,900,000","6,471,300,000","6,095,700,000","5,806,000,000","5,670,000,000","5,319,000,000","4,929,000,000","4,618,000,000","3,179,000,000","2,949,000,000","2,718,900,000","2,517,100,000","2,571,600,000","2,508,000,000","2,611,900,000","4,689,800,000","4,239,500,000","3,855,300,000","3,337,100,000","2,883,200,000","2,404,000,000","2,139,000,000","1,939,100,000","1,711,000,000"
"				Properties","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
