name,ttm,05/31/2025,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989,05/31/1988,05/31/1987,05/31/1986
"Total Revenue","18,371,200,000","19,486,600,000","19,857,200,000","20,094,200,000","18,992,800,000","18,127,000,000","17,626,600,000","16,865,200,000","15,740,400,000","15,619,800,000","16,563,100,000","17,630,300,000","17,909,600,000","17,774,100,000","16,657,900,000","14,880,200,000","14,635,600,000","14,691,300,000","13,652,100,000","12,441,500,000","11,711,300,000","11,308,000,000","11,070,000,000","10,506,000,000","7,949,000,000","5,450,000,000","5,173,000,000","6,246,100,000","6,033,000,000","5,609,300,000","5,416,000,000","5,026,700,000","8,516,900,000","8,134,600,000","7,777,800,000","7,153,200,000","6,448,300,000","5,620,600,000","5,178,800,000","5,189,300,000","4,586,600,000"
"	Operating Revenue","18,409,500,000","19,486,600,000","19,857,200,000","20,094,200,000","18,992,800,000","18,127,000,000","17,626,600,000","16,865,200,000","15,740,400,000","15,619,800,000","16,563,100,000","17,630,300,000","17,909,600,000","17,774,100,000","16,657,900,000","14,880,200,000","14,635,600,000","14,691,300,000","13,652,100,000","12,441,500,000","11,711,300,000","11,308,000,000","11,070,000,000","10,506,000,000","7,949,000,000","5,450,000,000","5,173,000,000","6,246,100,000","6,033,000,000","5,609,300,000","5,416,000,000","5,026,700,000","8,516,900,000","8,134,600,000","7,777,800,000","7,153,200,000","6,448,300,000","5,620,600,000","5,178,800,000","5,189,300,000","4,586,600,000"
"Cost of Revenue","12,305,000,000","12,753,600,000","12,925,100,000","13,548,400,000","12,590,600,000","11,678,700,000","11,496,700,000","11,108,400,000","10,304,800,000","10,052,000,000","10,733,600,000","11,681,100,000","11,539,800,000","11,350,200,000","10,613,200,000","8,926,700,000","8,835,400,000","9,457,800,000","8,778,300,000","7,955,100,000","7,544,800,000","7,326,000,000","6,584,000,000","6,109,000,000","4,662,000,000","2,841,000,000","2,489,000,000","2,399,300,000","2,343,000,000","2,328,400,000","2,241,000,000","2,023,000,000","4,458,200,000","4,297,600,000","4,123,200,000","3,722,100,000","3,485,100,000","3,114,800,000","2,847,800,000","2,834,000,000","2,563,900,000"
"Gross Profit","6,066,200,000","6,733,000,000","6,932,100,000","6,545,800,000","6,402,200,000","6,448,300,000","6,129,900,000","5,756,800,000","5,435,600,000","5,567,800,000","5,829,500,000","5,949,200,000","6,369,800,000","6,423,900,000","6,044,700,000","5,953,500,000","5,800,200,000","5,233,500,000","4,873,800,000","4,486,400,000","4,166,500,000","3,982,000,000","4,486,000,000","4,397,000,000","3,287,000,000","2,609,000,000","2,684,000,000","3,846,800,000","3,690,000,000","3,280,900,000","3,175,000,000","3,003,700,000","4,058,700,000","3,837,000,000","3,654,600,000","3,431,100,000","2,963,200,000","2,505,800,000","2,331,000,000","2,355,300,000","2,022,700,000"
"Operating Expense","3,394,700,000","3,445,800,000","3,259,000,000","3,500,400,000","3,147,000,000","3,079,600,000","3,151,600,000","2,935,800,000","2,850,100,000","2,888,800,000","3,118,900,000","3,328,000,000","3,474,300,000","3,552,300,000","3,380,700,000","3,192,000,000","3,162,700,000","2,951,800,000","2,625,000,000","2,389,300,000","2,177,700,000","1,998,000,000","2,443,000,000","2,472,000,000","2,070,000,000","1,393,000,000","1,585,000,000","2,829,100,000","2,739,800,000","2,422,000,000","2,315,000,000","2,314,700,000","3,059,300,000","2,919,400,000","2,751,900,000","2,604,400,000","2,318,100,000","1,960,800,000","1,850,500,000","1,888,100,000","1,658,800,000"
"	Selling General and Administrative","3,394,700,000","3,445,800,000","3,259,000,000","3,500,400,000","3,147,000,000","3,079,600,000","3,151,600,000","2,935,800,000","2,850,100,000","2,888,800,000","3,118,900,000","3,328,000,000","3,474,300,000","3,552,300,000","3,380,700,000","3,192,000,000","3,162,700,000","2,951,800,000","2,625,000,000","2,389,300,000","2,177,700,000","1,998,000,000","2,443,000,000","2,472,000,000","2,070,000,000","1,393,000,000","1,376,000,000","2,634,900,000","2,544,900,000","2,239,200,000","2,128,300,000","2,123,300,000","2,755,500,000","2,645,200,000","2,504,500,000","2,386,000,000","2,138,000,000","1,808,500,000","1,710,500,000","1,756,400,000","1,545,700,000"
"	Depreciation Amortization Depletion",,,,,,,,,,,,,,,,,,,,,,,,,,,"209,000,000","194,200,000","194,900,000","182,800,000","186,700,000","191,400,000","303,800,000","274,200,000","247,400,000","218,400,000","180,100,000","152,300,000","140,000,000","131,700,000","113,100,000"
"		Depreciation & amortization",,,,,,,,,,,,,,,,,,,,,,,,,,,"209,000,000","194,200,000","194,900,000","182,800,000","186,700,000","191,400,000","303,800,000","274,200,000","247,400,000","218,400,000","180,100,000","152,300,000","140,000,000","131,700,000","113,100,000"
"	Other Operating Expenses",,,,,,,,,,,,,,,,"-17,400,000",,"-84,900,000",,,,,,,,,,,,,,,,,,,,,,,
"Operating Income","2,671,500,000","3,287,200,000","3,673,100,000","3,045,400,000","3,255,200,000","3,368,700,000","2,978,300,000","2,821,000,000","2,585,500,000","2,679,000,000","2,710,600,000","2,621,200,000","2,895,500,000","2,871,600,000","2,664,000,000","2,761,500,000","2,637,500,000","2,281,700,000","2,248,800,000","2,097,100,000","1,988,800,000","1,984,000,000","2,043,000,000","1,925,000,000","1,217,000,000","1,216,000,000","1,099,000,000","1,017,700,000","950,200,000","858,900,000","860,000,000","689,000,000","999,400,000","917,600,000","902,700,000","826,700,000","645,100,000","545,000,000","480,500,000","467,200,000","363,900,000"
"Net Non Operating Interest Income Expense","-526,800,000","-524,200,000","-479,200,000","-382,100,000","-379,600,000","-420,300,000","-466,500,000","-521,800,000","-373,700,000","-295,100,000","-303,800,000","-315,400,000","-302,400,000","-316,900,000","-351,900,000","-346,300,000","-361,500,000","-382,800,000","-421,700,000","-426,500,000","-399,600,000","-455,000,000",,,,,,,,,,,,,,,,,,,
"	Interest Income Non Operating",,"24,600,000","18,800,000","14,000,000","3,800,000","7,400,000","6,000,000","5,600,000","11,700,000","7,000,000","8,100,000","13,200,000","16,100,000","12,600,000","9,900,000","7,400,000","6,800,000","21,600,000","27,300,000","31,000,000","26,800,000","30,000,000",,,,,,,,,,,,,,,,,,,
"	Interest Expense Non Operating","551,400,000","548,800,000","498,000,000","396,100,000","383,400,000","427,700,000","472,500,000","527,400,000","385,400,000","302,100,000","311,900,000","328,600,000","318,500,000","329,500,000","361,800,000","353,700,000","368,300,000","404,400,000","421,700,000","426,500,000","426,400,000","485,000,000",,,,,,,,,,,,,,,,,,,
"Other Income Expense","869,800,000","72,000,000","-165,600,000","477,200,000","334,000,000","-91,000,000","88,400,000","-217,200,000","-76,200,000","-112,600,000","-3,200,000","-543,900,000","61,900,000","-19,800,000","-101,600,000","13,000,000","-71,500,000","43,300,000","-21,000,000","-39,300,000","-29,800,000","278,000,000","56,000,000","-1,000,000","-101,000,000","6,000,000","3,000,000","-59,800,000","-169,300,000","-54,700,000","-2,800,000","-183,200,000","-146,900,000",,,,,,,"-1,100,000","-1,500,000"
"	Earnings from Equity Interest",,,,,,,,,,,,,,,,,,,,,"64,000,000","89,000,000","74,000,000","61,000,000","33,000,000","-17,000,000","3,000,000",,,,,,,,,,,,,,
"	Special Income Charges","810,900,000","17,600,000","-241,400,000","388,400,000","220,600,000","-223,900,000","-24,400,000","-305,100,000","-165,600,000","-186,900,000","-3,200,000","-543,900,000","61,900,000","-19,800,000","-101,600,000","13,000,000","-71,500,000","43,300,000","-21,000,000","-39,300,000","-29,800,000","278,000,000","-18,000,000","-62,000,000","-134,000,000","23,000,000","3,300,000","-59,800,000","-169,300,000","-54,700,000","-2,800,000","-183,200,000","-146,900,000",,,,,,,"-1,100,000","-1,500,000"
"		Restructuring & Mergers Acquisition","238,500,000","78,300,000","241,400,000","56,200,000","-26,500,000","170,400,000","24,400,000","275,100,000","165,600,000","180,400,000","151,400,000","543,900,000","3,600,000","19,800,000","101,600,000","4,400,000","31,400,000","41,600,000","21,000,000","39,300,000","29,800,000","84,000,000","26,000,000","62,000,000","134,000,000","12,000,000",,,,,,,,,,,,,,,
"		Other Special Charges",,,,,,,,"-87,900,000","-89,400,000","-74,300,000",,,,,,,"40,100,000","-84,900,000",,,,"-362,000,000","-8,000,000",,,"-35,000,000",,,,,,,,,,,,,,,
"		Gain on Sale of Business","1,049,400,000","95,900,000","0","444,600,000","194,100,000","-53,500,000","0","-30,000,000","0","-6,500,000","148,200,000","0","65,500,000","0","0","17,400,000",,,,,,,,,,,,,,,,,,,,,,,,,
"	Other Non Operating Income Expenses","58,900,000","54,400,000","75,800,000","88,800,000","113,400,000","132,900,000","112,800,000","87,900,000","89,400,000","74,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income","3,014,500,000","2,835,000,000","3,028,300,000","3,140,500,000","3,209,600,000","2,857,400,000","2,600,200,000","2,082,000,000","2,135,600,000","2,271,300,000","2,403,600,000","1,761,900,000","2,655,000,000","2,534,900,000","2,210,500,000","2,428,200,000","2,204,500,000","1,942,200,000","1,806,100,000","1,631,300,000","1,559,400,000","1,807,000,000","1,509,000,000","1,377,000,000","700,000,000","1,015,000,000","950,000,000","838,500,000","663,700,000","703,700,000","755,800,000","404,600,000","753,300,000","844,000,000","844,500,000","765,600,000","612,700,000","517,500,000","442,800,000","433,200,000","323,600,000"
"Tax Provision","723,800,000","573,700,000","594,500,000","612,200,000","586,300,000","629,100,000","480,500,000","367,800,000","57,300,000","655,200,000","755,200,000","586,800,000","883,300,000","741,200,000","709,600,000","721,100,000","771,200,000","720,400,000","622,200,000","560,100,000","538,300,000","661,000,000","528,000,000","460,000,000","239,000,000","350,000,000","336,000,000","304,000,000","241,900,000","258,300,000","279,400,000","144,900,000","283,600,000","337,900,000","338,900,000","301,400,000","239,000,000","202,200,000","177,400,000","211,200,000","140,100,000"
"Earnings from Equity Interest Net of Tax","-64,900,000","57,600,000","84,800,000","81,300,000","111,700,000","117,700,000","91,100,000","72,000,000","84,700,000","85,000,000","88,400,000","84,300,000","89,600,000","98,800,000","88,200,000","96,400,000","101,700,000","91,900,000","110,800,000","72,700,000","69,200,000","94,000,000",,,,,,,,,,,,,,,,,,,
"Net Income Common Stockholders","2,203,800,000","2,284,700,000","2,496,600,000","2,593,900,000","2,707,300,000","2,339,800,000","2,181,200,000","1,752,700,000","2,131,000,000","1,657,500,000","1,697,400,000","1,221,300,000","1,824,400,000","1,855,200,000","1,567,300,000","1,798,300,000","1,530,500,000","1,304,400,000","1,294,700,000","1,143,900,000","1,090,300,000","1,240,000,000","1,055,000,000","917,000,000","458,000,000","665,000,000","614,000,000","534,500,000","421,800,000","445,400,000","476,400,000","367,400,000","469,900,000","506,100,000","495,600,000","472,700,000","381,400,000","484,300,000","283,100,000","222,000,000","183,500,000"
"	Net Income","2,214,300,000","2,295,200,000","2,496,600,000","2,593,900,000","2,707,300,000","2,339,800,000","2,181,200,000","1,752,700,000","2,131,000,000","1,657,500,000","1,697,400,000","1,221,300,000","1,824,400,000","1,855,200,000","1,567,300,000","1,798,300,000","1,530,500,000","1,304,400,000","1,294,700,000","1,143,900,000","1,090,300,000","1,240,000,000","1,055,000,000","917,000,000","458,000,000","665,000,000","614,000,000","534,500,000","421,800,000","445,400,000","476,400,000","367,400,000","469,900,000","506,100,000","495,600,000","472,700,000","381,400,000","484,300,000","283,100,000","222,000,000","183,500,000"
"		Net Income Including Non-Controlling Interests","2,225,800,000","2,318,900,000","2,518,600,000","2,609,600,000","2,735,000,000","2,346,000,000","2,210,800,000","1,786,200,000","2,163,000,000","1,701,100,000","1,736,800,000","1,259,400,000","1,861,300,000","1,892,500,000","1,589,100,000","1,803,500,000","1,535,000,000","1,313,700,000","1,294,700,000","1,143,900,000","1,090,300,000","1,240,000,000","1,055,000,000","917,000,000","458,000,000","665,000,000","614,000,000","534,500,000","421,800,000","445,400,000","476,400,000","367,400,000","469,900,000","506,100,000","495,600,000","472,700,000","381,400,000","484,300,000","283,100,000","222,000,000","183,500,000"
"			Net Income Continuous Operations","2,225,800,000","2,318,900,000","2,518,600,000","2,609,600,000","2,735,000,000","2,346,000,000","2,210,800,000","1,786,200,000","2,163,000,000","1,701,100,000","1,736,800,000","1,259,400,000","1,861,300,000","1,892,500,000","1,589,100,000","1,803,500,000","1,535,000,000","1,313,700,000","1,294,700,000","1,143,900,000","1,090,300,000","1,240,000,000","1,055,000,000","917,000,000","461,000,000","665,000,000","614,000,000","534,500,000","421,800,000","445,400,000","476,400,000","259,700,000","469,700,000","506,100,000","505,600,000","464,200,000","373,700,000","315,300,000","265,400,000","222,000,000","183,500,000"
"			Net Income Discontinuous Operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,700,000",,,"-10,000,000","8,500,000","7,700,000","169,000,000","17,700,000",,
"			Net Income Extraordinary",,,,,,,,,,,,,,,,,,,,,,,,,"-3,000,000",,,,,,,,"200,000",,,,,,,,
"		Minority Interests","-11,500,000","-23,700,000","-22,000,000","-15,700,000","-27,700,000","-6,200,000","-29,600,000","-33,500,000","-32,000,000","-43,600,000","-39,400,000","-38,100,000","-36,900,000","-37,300,000","-21,800,000","-5,200,000","-4,500,000","-9,300,000",,,,"-39,000,000",,,,,,,,,,,,,,,,,,,
"	Otherunder Preferred Stock Dividend",,"10,500,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average Dilution Earnings",,,,,,,,,,,,,,,,,,,"-8,000,000","0","8,600,000","20,000,000",,,,,,,,,,,,,,,,,,,
"Diluted NI Available to Com Stockholders","2,203,800,000","2,284,700,000","2,496,600,000","2,593,900,000","2,707,300,000","2,339,800,000","2,181,200,000","1,752,700,000","2,131,000,000","1,657,500,000","1,697,400,000","1,221,300,000","1,824,400,000","1,855,200,000","1,567,300,000","1,798,300,000","1,530,500,000","1,304,400,000","1,294,700,000","1,143,900,000","1,098,900,000","1,260,000,000","1,055,000,000","917,000,000","458,000,000","665,000,000","614,000,000","534,500,000","421,800,000","445,400,000","476,400,000","367,400,000","469,900,000","506,100,000","495,600,000","472,700,000","381,400,000","484,300,000","283,100,000","222,000,000","183,500,000"
"Basic EPS","4.09","4.12","4.34","4.36","4.46","3.81","3.59","2.92","3.69","2.82","2.83","2.02","2.9","2.86","2.42","2.8","2.32","1.96","1.93","1.65","1.525","1.67","1.41","1.245","0.69","1.17","1.025","0.875","0.668","0.705","0.75","0.585","0.74","0.775","0.75","0.72","0.585","0.745","0.42","0.315","0.26"
"Diluted EPS","4.09","4.1","4.31","4.31","4.42","3.78","3.56","2.9","3.64","2.77","2.77","1.97","2.83","2.79","2.35","2.7","2.24","1.9","1.855","1.59","1.45","1.54","1.3","1.215","0.67","1.14","1","0.85","0.65","0.69","0.735","0.585","0.74","0.775","0.75","0.72","0.585","0.745","0.42","0.315","0.26"
"Basic Average Shares","540,625,000","554,500,000","575,500,000","594,800,000","607,500,000","614,100,000","608,100,000","600,400,000","576,800,000","587,100,000","598,400,000","599,900,000","628,600,000","648,600,000","648,100,000","642,500,000","659,600,000","663,700,000","666,000,000","693,000,000","715,400,000","742,000,000","750,000,000","738,000,000","662,000,000","568,000,000","598,200,000","613,000,000","632,400,000","631,773,050","635,200,000","628,034,188","635,000,000","653,032,258","660,800,000","656,527,778","651,965,812","650,067,114","674,047,619","704,761,905","705,769,231"
"Diluted Average Shares","542,050,000","557,500,000","579,500,000","601,200,000","612,600,000","619,100,000","613,300,000","605,400,000","585,700,000","598,000,000","611,200,000","614,900,000","645,700,000","665,600,000","666,700,000","664,400,000","683,300,000","687,100,000","693,800,000","720,400,000","757,600,000","818,000,000","826,000,000","756,000,000","684,000,000","584,000,000","614,600,000","629,400,000","649,200,000","645,507,246","648,163,265","628,034,188","635,000,000","653,032,258","660,800,000","656,527,778","651,965,812","650,067,114","674,047,619","704,761,905","705,769,231"
