Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,3.218750,3.333333,2.916667,3.125000,1.225975,17098800
1985-02-01,3.125000,3.406250,3.083333,3.312500,1.299533,6675600
1985-03-01,3.312500,3.510417,3.270833,3.500000,1.373091,5626800
1985-04-01,3.500000,3.500000,3.270833,3.333333,1.307706,10009200
1985-05-01,3.333333,3.666667,3.291667,3.656250,1.434390,9546000
1985-06-01,3.666667,4.114583,3.666667,3.937500,1.544728,12475200
1985-07-01,3.947917,4.093750,3.625000,3.739583,1.467083,7538400
1985-08-01,3.739583,3.802083,3.572917,3.645833,1.430303,5678400
1985-09-01,3.656250,3.812500,3.604167,3.760417,1.487119,4761600
1985-10-01,3.760417,4.135417,3.718750,4.114583,1.627179,7800000
1985-11-01,4.114583,4.520833,4.072917,4.500000,1.779599,7038000
1985-12-01,4.500000,4.583333,4.208333,4.291667,1.709689,8784000
1986-01-01,4.291667,4.520833,3.875000,4.385417,1.747038,10088400
1986-02-01,4.385417,4.697917,4.343750,4.687500,1.867380,6910800
1986-03-01,4.687500,5.333333,4.604167,5.312500,2.130826,7741200
1986-04-01,5.239583,5.562500,4.791667,5.333333,2.139182,7062000
1986-05-01,5.333333,5.979167,5.145833,5.937500,2.381511,7604400
1986-06-01,5.937500,6.729167,5.635417,6.718750,2.710446,10182000
1986-07-01,6.718750,6.916667,6.031250,6.364583,2.567569,10878000
1986-08-01,6.354167,7.479167,6.125000,7.197917,2.903748,14293200
1986-09-01,7.197917,7.197917,5.343750,5.406250,2.191546,14196400
1986-10-01,5.437500,6.531250,5.250000,6.312500,2.558915,22598400
1986-11-01,6.312500,6.343750,5.531250,6.250000,2.533579,18073600
1986-12-01,6.218750,6.625000,5.968750,6.156250,2.509473,17027200
1987-01-01,6.125000,7.250000,6.125000,7.156250,2.917104,17462400
1987-02-01,7.093750,7.343750,6.718750,6.937500,2.827935,11375600
1987-03-01,6.843750,7.250000,6.531250,6.906250,2.828833,12902800
1987-04-01,6.750000,7.187500,5.750000,6.218750,2.547233,15094000
1987-05-01,6.218750,6.656250,5.937500,6.375000,2.611233,9942000
1987-06-01,6.437500,7.375000,6.343750,7.000000,2.882880,11539200
1987-07-01,6.906250,7.093750,6.593750,6.937500,2.857141,8449600
1987-08-01,6.875000,8.406250,6.750000,8.187500,3.371942,25180000
1987-09-01,8.218750,9.437500,7.312500,8.531250,3.532070,25076000
1987-10-01,8.500000,9.406250,5.187500,6.406250,2.652285,31558000
1987-11-01,6.343750,6.687500,5.656250,6.000000,2.484094,12623200
1987-12-01,5.968750,6.906250,5.250000,6.125000,2.551430,11374400
1988-01-01,6.156250,6.500000,5.718750,6.468750,2.694624,8894800
1988-02-01,6.531250,7.062500,5.937500,6.625000,2.759711,18048800
1988-03-01,6.593750,7.093750,6.000000,6.187500,2.592922,25360000
1988-04-01,6.187500,6.531250,5.812500,6.000000,2.514351,12168800
1988-05-01,6.062500,6.187500,5.468750,5.812500,2.435777,11877600
1988-06-01,5.812500,6.562500,5.718750,6.156250,2.597823,23680400
1988-07-01,6.125000,6.250000,5.875000,6.156250,2.597823,11050800
1988-08-01,6.156250,6.281250,5.718750,5.937500,2.505516,16718400
1988-09-01,5.937500,6.375000,5.812500,6.250000,2.656860,18800000
1988-10-01,6.250000,7.156250,6.156250,6.843750,2.909262,20782800
1988-11-01,6.843750,6.843750,6.093750,6.250000,2.656860,10415200
