name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
"Total Assets","13,741,297,000","12,946,861,000","11,902,941,000","10,948,820,000","10,412,231,000","9,131,845,000","8,140,395,000","7,703,020,000","5,553,726,000","5,524,333,000","5,344,371,000","5,622,870,000","5,357,488,000","4,754,839,000","4,407,094,000","4,272,732,000","3,675,031,000","3,634,719,000","4,247,113,000","4,157,565,000","4,262,699,000","3,812,784,000","3,582,540,000","3,480,551,000","3,247,430,000","3,447,764,000","3,346,700,000","3,404,100,000","3,291,200,000","3,184,800,000","2,830,600,000","2,891,000,000","2,855,100,000","2,672,900,000","2,341,800,000","2,078,800,000","1,814,100,000","1,764,700,000","1,645,200,000","1,356,300,000","1,197,400,000"
"	Current Assets","3,588,899,000","3,759,457,000","2,912,103,000","2,620,406,000","2,246,206,000","2,977,905,000","2,117,102,000","2,239,181,000","2,001,910,000","1,816,778,000","1,848,598,000","2,247,047,000","2,487,334,000","2,113,485,000","2,046,558,000","2,005,217,000","1,385,434,000","1,344,945,000","1,426,574,000","1,417,812,000","1,376,403,000","1,197,694,000","1,131,569,000","1,263,618,000","1,167,541,000","1,295,348,000","1,280,000,000","1,134,000,000","1,034,800,000","986,200,000","922,300,000","948,700,000","889,000,000","940,000,000","744,500,000","661,800,000","567,600,000","619,100,000","484,900,000","393,400,000","412,300,000"
"		Cash, Cash Equivalents & Short Term Investments","925,859,000","730,746,000","401,902,000","463,889,000","329,266,000","1,143,987,000","493,262,000","587,998,000","380,179,000","296,967,000","346,529,000","471,985,000","1,118,508,000","728,272,000","693,686,000","884,642,000","253,605,000","37,103,000","129,198,000","97,141,000","67,183,000","54,837,000","114,793,000","297,743,000","134,147,000","31,969,000","118,100,000","39,000,000","54,200,000","61,400,000","32,300,000","26,700,000","16,000,000","24,100,000","71,100,000","26,600,000","52,500,000","70,100,000","15,000,000","27,600,000","110,600,000"
"			Cash And Cash Equivalents","925,859,000","730,746,000","401,902,000","463,889,000","329,266,000","1,143,987,000","493,262,000","587,998,000","380,179,000","296,967,000","346,529,000","374,854,000","1,118,508,000","728,272,000","693,686,000","884,642,000","253,605,000","37,103,000","129,198,000","97,141,000","67,183,000","54,837,000","114,793,000","297,743,000","134,147,000","31,969,000","118,100,000","39,000,000","54,200,000","61,400,000","32,300,000","26,700,000","16,000,000","24,100,000","71,100,000","26,600,000","52,500,000","70,100,000","15,000,000","27,600,000","110,600,000"
"			Other Short Term Investments",,,,,,,,,,,"0","97,131,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		Receivables","729,547,000","800,402,000","823,617,000","711,203,000","671,464,000","615,233,000","568,509,000","594,145,000","588,262,000","581,381,000","599,073,000","596,940,000","477,912,000","461,383,000","399,499,000","390,061,000","410,390,000","455,153,000","487,285,000","522,673,000","507,119,000","408,930,000","407,612,000","370,976,000","361,726,000","379,680,000","352,800,000","451,300,000","360,800,000","294,600,000","326,000,000","331,700,000","295,000,000","173,600,000","159,800,000","143,000,000","121,900,000","166,800,000","121,500,000","77,400,000","76,600,000"
"			Accounts receivable","729,547,000","800,402,000","823,617,000","711,203,000","671,464,000","615,233,000","568,509,000","594,145,000","588,262,000","581,381,000","599,073,000","596,940,000","477,912,000","461,383,000","399,499,000","390,061,000","410,390,000","455,153,000","487,285,000","522,673,000","507,119,000","408,930,000","407,612,000","370,976,000","361,726,000","379,680,000",,,,,,,,,,,,,,,
"				Gross Accounts Receivable","749,591,000","840,889,000","855,280,000","737,204,000","700,301,000","640,208,000","593,475,000","618,755,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				Allowance For Doubtful Accounts Receivable","-20,044,000","-40,487,000","-31,663,000","-26,001,000","-28,837,000","-24,975,000","-24,966,000","-24,610,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		Inventory","1,429,254,000","1,254,094,000","1,340,996,000","1,173,119,000","988,511,000","964,207,000","815,251,000","784,879,000","752,836,000","745,678,000","750,970,000","801,036,000","659,541,000","633,262,000","648,953,000","533,622,000","519,712,000","592,530,000","600,185,000","648,820,000","634,910,000","557,180,000","492,859,000","503,291,000","512,134,000","605,173,000","602,200,000","493,200,000","505,500,000","475,000,000","397,600,000","445,700,000","453,400,000","457,200,000","436,900,000","379,100,000","309,800,000","308,800,000","285,400,000","237,500,000","192,700,000"
