name,ttm,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
"Total Revenue","11,991,324,000","11,692,576,000","11,202,263,000","11,164,992,000","10,419,294,000","8,971,337,000","8,149,719,000","7,986,252,000","7,791,069,000","7,515,426,000","7,440,181,000","7,386,626,000","7,421,768,000","7,146,079,000","6,644,252,000","6,080,788,000","5,671,009,000","5,298,668,000","5,132,768,000","4,946,716,000","4,944,230,000","4,819,827,000","4,416,389,000","4,172,551,000","4,120,317,000","4,137,217,000","3,820,416,000","3,970,900,000","4,435,600,000","4,302,200,000","3,989,300,000","3,690,700,000","3,606,300,000","3,488,200,000","3,219,800,000","2,899,200,000","2,715,600,000","2,421,000,000","2,168,000,000","2,433,800,000","2,169,600,000","1,996,200,000"
"	Operating Revenue","11,991,324,000","11,692,576,000","11,202,263,000","11,164,992,000","10,419,294,000","8,971,337,000","8,149,719,000","7,986,252,000","7,791,069,000","7,515,426,000","7,440,181,000","7,386,626,000","7,421,768,000","7,146,079,000","6,644,252,000","6,080,788,000","5,671,009,000","5,298,668,000","5,132,768,000","4,946,716,000","4,944,230,000","4,819,827,000","4,416,389,000","4,172,551,000","4,120,317,000","4,137,217,000","3,820,416,000","3,970,900,000","4,435,600,000","4,302,200,000","3,989,300,000","3,690,700,000","3,606,300,000","3,488,200,000","3,219,800,000","2,899,200,000","2,715,600,000","2,421,000,000","2,168,000,000","2,433,800,000","2,169,600,000","1,996,200,000"
"Cost of Revenue","7,790,169,000","7,769,885,000","5,901,375,000","6,167,176,000","5,920,509,000","4,922,739,000","4,448,450,000","4,363,774,000","4,215,744,000","4,060,050,000","4,270,642,000","4,003,951,000","4,085,602,000","3,865,231,000","3,784,370,000","3,548,896,000","3,255,801,000","3,245,531,000","3,375,050,000","3,315,147,000","3,076,718,000","2,956,682,000","2,672,716,000","2,544,726,000","2,561,052,000","2,668,530,000","2,471,151,000","2,191,400,000","2,466,900,000","2,336,100,000","2,168,600,000","1,992,400,000","1,968,600,000","1,882,400,000","1,736,300,000","1,609,000,000","1,514,500,000","1,389,900,000","1,274,600,000","1,541,500,000","1,394,500,000","1,306,100,000"
"Gross Profit","4,201,155,000","3,922,691,000","5,300,888,000","4,997,816,000","4,498,785,000","4,048,598,000","3,701,269,000","3,622,478,000","3,575,325,000","3,455,376,000","3,169,539,000","3,382,675,000","3,336,166,000","3,280,848,000","2,859,882,000","2,531,892,000","2,415,208,000","2,053,137,000","1,757,718,000","1,631,569,000","1,867,512,000","1,863,145,000","1,743,673,000","1,627,825,000","1,559,265,000","1,468,687,000","1,349,265,000","1,779,500,000","1,968,700,000","1,966,100,000","1,820,700,000","1,698,300,000","1,637,700,000","1,605,800,000","1,483,500,000","1,290,200,000","1,201,100,000","1,031,100,000","893,400,000","892,300,000","775,100,000","690,100,000"
"Operating Expense","2,477,937,000","2,460,569,000","2,373,621,000","2,436,508,000","2,236,009,000","2,001,351,000","1,890,925,000","1,905,929,000","1,874,829,000","1,885,492,000","1,891,305,000","1,969,308,000","1,898,284,000","1,924,132,000","1,703,796,000","1,477,750,000","1,426,477,000","1,208,672,000","1,073,019,000","895,874,000","860,378,000","912,986,000","867,104,000","808,112,000","833,426,000","1,056,053,000","726,615,000","1,221,100,000","1,326,100,000","1,335,900,000","1,257,600,000","1,187,700,000","1,163,100,000","1,148,600,000","1,055,300,000","899,900,000","850,600,000","720,700,000","627,400,000","598,200,000","504,500,000","445,100,000"
"	Selling General and Administrative","2,477,937,000","2,460,569,000","2,373,621,000","2,436,508,000","2,236,009,000","2,001,351,000","1,890,925,000","1,905,929,000","1,874,829,000","1,885,492,000","1,891,305,000","1,969,308,000","1,898,284,000","1,924,132,000","1,703,796,000","1,477,750,000","1,426,477,000","1,208,672,000","1,073,019,000","895,874,000","860,378,000","912,986,000","867,104,000","816,442,000","833,426,000","846,976,000","726,615,000","1,057,800,000","1,167,900,000","1,183,100,000","1,124,100,000","1,053,800,000","1,034,100,000","1,035,500,000","958,200,000","814,500,000","776,700,000","655,000,000","575,500,000","527,600,000","445,500,000","395,500,000"
"		General & Administrative Expense",,,,"2,464,518,000","2,254,475,000","2,006,528,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			Salaries and Wages",,,,"28,010,000","18,466,000","5,177,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			Other G and A",,,,"2,436,508,000","2,236,009,000","2,001,351,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	Depreciation Amortization Depletion",,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,300,000","158,200,000","152,800,000","133,500,000","133,900,000","129,000,000","113,100,000","97,100,000","85,400,000","73,900,000","65,700,000","51,900,000","70,600,000","59,000,000","49,600,000"
"		Depreciation & amortization",,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,300,000","158,200,000","152,800,000","133,500,000","133,900,000","129,000,000","113,100,000","97,100,000","85,400,000","73,900,000","65,700,000","51,900,000","70,600,000","59,000,000","49,600,000"
"	Other Operating Expenses",,,,,,,,,,,,,,,,,,,,,,,,"-8,330,000",,"209,077,000",,,,,,,,,,,,,,,,
"Operating Income","1,723,218,000","1,462,122,000","2,927,267,000","2,561,308,000","2,262,776,000","2,047,247,000","1,810,344,000","1,716,549,000","1,700,496,000","1,569,884,000","1,278,234,000","1,413,367,000","1,437,882,000","1,356,716,000","1,156,086,000","1,054,142,000","988,731,000","844,465,000","684,699,000","735,695,000","1,007,134,000","950,159,000","876,569,000","819,713,000","725,839,000","412,634,000","622,650,000","558,400,000","642,600,000","630,200,000","563,100,000","510,600,000","474,600,000","457,200,000","428,200,000","390,300,000","350,500,000","310,400,000","266,000,000","294,100,000","270,600,000","245,000,000"
"Net Non Operating Interest Income Expense","-195,402,000","-190,206,000","-165,655,000","-151,785,000","-137,557,000","-127,417,000","-149,374,000","-144,125,000","-138,837,000","-98,282,000","-90,143,000","-77,447,000","-83,532,000","-88,356,000","-95,569,000","-92,183,000","-96,434,000","-90,459,000","-97,876,000","-118,585,000",,,,,,,,,,,,,,,,,,,,,,
"	Interest Income Non Operating","33,547,000","34,600,000","8,662,000","9,726,000","2,538,000","2,429,000","4,097,000","7,997,000","8,021,000","1,784,000","1,805,000","3,536,000","4,066,000","3,158,000","2,940,000","2,597,000","1,270,000","877,000","1,802,000","2,481,000",,,,,,,,,,,,,,,,,,,,,,
"	Interest Expense Non Operating","228,949,000","224,806,000","174,317,000","161,511,000","140,095,000","129,846,000","153,471,000","152,122,000","146,858,000","100,066,000","91,948,000","80,983,000","87,598,000","91,514,000","98,509,000","94,780,000","97,704,000","91,336,000","99,678,000","121,066,000",,,,,,,,,,,,,,,,,,,,,,
"Other Income Expense","-44,567,000","-57,708,000","-287,676,000","-237,659,000","-208,148,000","-122,606,000","-165,973,000","-191,640,000","-151,598,000","-360,934,000","-88,610,000","-434,073,000","-48,307,000","-17,041,000","-44,938,000","886,000","-83,433,000","-82,875,000","-94,801,000","-276,868,000","-14,576,000","-96,537,000",,"-15,027,000","-27,552,000","-209,077,000",,"243,800,000","3,000,000","2,900,000","-31,400,000","200,000","-106,100,000","80,600,000",,,"35,500,000",,,,,
"	Gain on Sale of Security",,,,,,,,,,,,,"-6,722,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
