name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
"Total Assets","81,786,000,000","88,287,000,000","90,339,000,000","90,513,000,000","93,394,000,000","99,830,000,000","101,450,000,000","103,461,000,000","120,092,000,000","120,480,000,000","122,973,000,000","22,947,000,000","23,148,000,000","23,179,000,000","21,539,000,000"
"	Current Assets","10,127,000,000","7,655,000,000","7,929,000,000","7,897,000,000","8,994,000,000","10,822,000,000","8,097,000,000","9,075,000,000","7,201,000,000","8,753,000,000","9,780,000,000","4,791,000,000","4,908,000,000","4,823,000,000","3,272,000,000"
"		Cash, Cash Equivalents & Short Term Investments","3,675,000,000","1,334,000,000","1,400,000,000","1,040,000,000","3,445,000,000","3,417,000,000","2,279,000,000","1,130,000,000","1,629,000,000","4,204,000,000","4,837,000,000","1,293,000,000","1,686,000,000","1,255,000,000","0"
"			Cash And Cash Equivalents","2,615,000,000","1,334,000,000","1,400,000,000","1,040,000,000","3,445,000,000","3,417,000,000","2,279,000,000","1,130,000,000","1,629,000,000","4,204,000,000","4,837,000,000","1,293,000,000","1,686,000,000","1,255,000,000","0"
"			Other Short Term Investments","1,060,000,000","0",,,,,,,,,,,,,
"		Receivables","2,254,000,000","2,147,000,000","2,112,000,000","2,120,000,000","1,957,000,000","2,063,000,000","1,973,000,000","2,281,000,000","1,812,000,000","1,158,000,000","1,454,000,000","1,080,000,000","1,048,000,000","1,089,000,000","903,000,000"
"			Accounts receivable","2,254,000,000","2,147,000,000","2,112,000,000","2,120,000,000","1,957,000,000","2,063,000,000","1,973,000,000","2,129,000,000","1,274,000,000","898,000,000","1,454,000,000","1,080,000,000","1,048,000,000","1,089,000,000","903,000,000"
"				Gross Accounts Receivable","2,288,000,000","2,173,000,000","2,150,000,000","2,166,000,000","2,005,000,000","2,111,000,000","2,006,000,000","2,153,000,000","1,297,000,000","918,000,000","1,486,000,000","1,101,000,000","1,074,000,000","1,117,000,000","926,000,000"
"				Allowance For Doubtful Accounts Receivable","-34,000,000","-26,000,000","-38,000,000","-46,000,000","-48,000,000","-48,000,000","-33,000,000","-24,000,000","-23,000,000","-20,000,000","-32,000,000","-21,000,000","-26,000,000","-28,000,000","-23,000,000"
"			Taxes Receivable",,,,,,,"173,000,000","152,000,000","538,000,000","260,000,000",,,,,
"			Receivables Adjustments Allowances",,,,,,,,,,,,,,,"-23,000,000"
"		Inventory","3,167,000,000","3,376,000,000","3,614,000,000","3,651,000,000","2,729,000,000","2,773,000,000","2,721,000,000","2,667,000,000","2,760,000,000","2,684,000,000","2,618,000,000","1,775,000,000","1,616,000,000","1,928,000,000","1,943,000,000"
"			Raw Materials","1,134,000,000","1,195,000,000","1,247,000,000","1,240,000,000","779,000,000","701,000,000","511,000,000","510,000,000","560,000,000","542,000,000","563,000,000","481,000,000","453,000,000","535,000,000","562,000,000"
"			Work in Process","278,000,000","310,000,000","338,000,000","334,000,000","268,000,000","268,000,000","364,000,000","343,000,000","384,000,000","388,000,000","393,000,000","296,000,000","294,000,000","326,000,000","373,000,000"
"			Finished Goods","1,755,000,000","1,871,000,000","2,029,000,000","2,077,000,000","1,682,000,000","1,804,000,000","1,846,000,000","1,814,000,000","1,816,000,000","1,754,000,000","1,662,000,000","998,000,000","869,000,000","1,067,000,000","1,008,000,000"
"		Prepaid Assets","291,000,000","215,000,000","234,000,000","240,000,000","136,000,000","132,000,000","384,000,000","400,000,000","345,000,000",,,,,,
"		Current Deferred Assets",,,,,,,,,,,,"384,000,000","360,000,000","420,000,000","232,000,000"
"			Current Deferred Taxes Assets",,,,,,,,,,,,"384,000,000","360,000,000","420,000,000","232,000,000"
"		Assets Held for Sale Current","152,000,000","0","3,000,000","4,000,000","11,000,000","1,863,000,000","122,000,000","1,376,000,000","0",,,,,,
"		Other Current Assets","588,000,000","583,000,000","569,000,000","842,000,000","716,000,000","574,000,000","618,000,000","1,221,000,000","655,000,000","707,000,000","871,000,000","259,000,000","198,000,000","131,000,000","194,000,000"
"	Total non-current assets","71,659,000,000","80,632,000,000","82,410,000,000","82,616,000,000","84,400,000,000","89,008,000,000","93,353,000,000","94,386,000,000","112,891,000,000","111,727,000,000","113,193,000,000","18,156,000,000","18,240,000,000","18,356,000,000","18,267,000,000"
"		Net PPE","7,318,000,000","7,152,000,000","7,122,000,000","6,740,000,000","6,806,000,000","6,876,000,000","7,055,000,000","7,078,000,000","7,061,000,000","6,688,000,000","6,524,000,000","4,192,000,000","4,115,000,000","4,204,000,000","4,278,000,000"
"			Gross PPE","12,635,000,000","11,889,000,000","11,925,000,000","10,952,000,000","10,674,000,000","10,439,000,000","10,242,000,000","9,662,000,000","9,150,000,000","8,518,000,000","7,430,000,000","8,043,000,000","7,822,000,000","8,402,000,000","8,169,000,000"
"				Properties","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"				Land And Improvements","188,000,000","193,000,000","203,000,000","200,000,000","207,000,000","219,000,000","210,000,000","218,000,000","250,000,000","264,000,000","297,000,000","79,000,000","72,000,000","119,000,000","124,000,000"
"				Buildings And Improvements","3,106,000,000","2,846,000,000","2,705,000,000","2,536,000,000","2,508,000,000","2,514,000,000","2,447,000,000","2,375,000,000","2,232,000,000","1,884,000,000","1,700,000,000","1,881,000,000","1,806,000,000","1,996,000,000","1,984,000,000"
"				Machinery Furniture Equipment","8,519,000,000","7,689,000,000","7,735,000,000","7,055,000,000","6,957,000,000","6,914,000,000","6,552,000,000","5,904,000,000","5,323,000,000","4,770,000,000","4,432,000,000","5,619,000,000","5,584,000,000","5,922,000,000","5,764,000,000"
"				Construction in Progress","822,000,000","1,161,000,000","1,282,000,000","1,161,000,000","1,002,000,000","792,000,000","1,033,000,000","1,165,000,000","1,345,000,000","1,600,000,000","1,001,000,000","464,000,000","360,000,000","365,000,000","297,000,000"
"			Accumulated Depreciation","-5,317,000,000","-4,737,000,000","-4,803,000,000","-4,212,000,000","-3,868,000,000","-3,563,000,000","-3,187,000,000","-2,584,000,000","-2,089,000,000","-1,830,000,000","-906,000,000","-3,851,000,000","-3,707,000,000","-4,198,000,000","-3,891,000,000"
"		Goodwill And Other Intangible Assets","59,708,000,000","68,772,000,000","72,907,000,000","73,482,000,000","74,838,000,000","79,756,000,000","84,198,000,000","85,971,000,000","104,257,000,000","103,422,000,000","105,171,000,000","13,638,000,000","13,734,000,000","13,827,000,000","13,946,000,000"
"			Goodwill","22,179,000,000","28,673,000,000","30,459,000,000","30,833,000,000","31,296,000,000","33,089,000,000","35,546,000,000","36,503,000,000","44,825,000,000","44,125,000,000","43,051,000,000","11,404,000,000","11,505,000,000","11,599,000,000","11,316,000,000"
"			Other Intangible Assets","37,529,000,000","40,099,000,000","42,448,000,000","42,649,000,000","43,542,000,000","46,667,000,000","48,652,000,000","49,468,000,000","59,432,000,000","59,297,000,000","62,120,000,000","2,234,000,000","2,229,000,000","2,228,000,000","2,630,000,000"
"		Non Current Prepaid Assets",,,,,,,,,,,,,,,"14,000,000"
"		Other Non Current Assets","4,633,000,000","4,708,000,000","2,381,000,000","2,394,000,000","2,756,000,000","2,376,000,000","2,100,000,000","1,337,000,000","1,573,000,000","1,617,000,000","1,498,000,000","326,000,000","391,000,000","325,000,000","43,000,000"
