name,ttm,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
"Total Revenue","24,990,000,000","24,942,000,000","25,846,000,000","26,640,000,000","26,485,000,000","26,042,000,000","26,185,000,000","24,977,000,000","26,268,000,000","26,076,000,000","26,300,000,000","18,338,000,000","18,205,000,000","18,218,000,000","18,271,000,000","18,576,000,000","17,797,000,000"
"	Operating Revenue","24,990,000,000","24,942,000,000","25,846,000,000","26,640,000,000","26,485,000,000","26,042,000,000","26,185,000,000","24,977,000,000","26,268,000,000","26,076,000,000","26,300,000,000","18,338,000,000","18,205,000,000","18,218,000,000","18,271,000,000","18,576,000,000","17,797,000,000"
"Cost of Revenue","16,526,000,000","16,633,000,000","16,878,000,000","17,714,000,000","18,363,000,000","17,360,000,000","17,008,000,000","16,830,000,000","17,347,000,000","17,043,000,000","17,154,000,000","12,577,000,000","13,360,000,000","11,395,000,000","12,499,000,000","12,813,000,000","11,777,000,000"
"Gross Profit","8,464,000,000","8,309,000,000","8,968,000,000","8,926,000,000","8,122,000,000","8,682,000,000","9,177,000,000","8,147,000,000","8,921,000,000","9,033,000,000","9,146,000,000","5,761,000,000","4,845,000,000","6,823,000,000","5,772,000,000","5,763,000,000","6,020,000,000"
"Operating Expense","3,865,000,000","3,672,000,000","3,616,000,000","3,692,000,000","3,575,000,000","3,588,000,000","3,650,000,000","3,178,000,000","3,190,000,000","2,927,000,000","3,527,000,000","3,122,000,000","2,956,000,000","2,124,000,000","2,961,000,000","2,937,000,000","3,063,000,000"
"	Selling General and Administrative","3,865,000,000","3,672,000,000","3,616,000,000","3,692,000,000","3,575,000,000","3,588,000,000","3,650,000,000","3,178,000,000","3,190,000,000","2,927,000,000","3,527,000,000","3,122,000,000","2,956,000,000","2,124,000,000","2,961,000,000","2,937,000,000","3,063,000,000"
"		General & Administrative Expense",,,"3,486,000,000","3,759,000,000","3,440,000,000","3,374,000,000","3,449,000,000","3,006,000,000","3,150,000,000","2,927,000,000","3,527,000,000","3,122,000,000","2,956,000,000","2,124,000,000","2,961,000,000","2,937,000,000","3,063,000,000"
"			Salaries and Wages",,,"-130,000,000","67,000,000","-135,000,000","-214,000,000","-201,000,000","-172,000,000","-40,000,000",,,,,,,,
"			Other G and A",,,"3,616,000,000","3,692,000,000","3,575,000,000","3,588,000,000","3,650,000,000","3,178,000,000","3,190,000,000","2,927,000,000","3,527,000,000","3,122,000,000","2,956,000,000","2,124,000,000","2,961,000,000","2,937,000,000","3,063,000,000"
"		Selling & Marketing Expense",,,,"3,692,000,000","3,575,000,000","3,588,000,000","3,650,000,000","3,178,000,000","3,190,000,000","2,927,000,000","3,527,000,000","3,122,000,000","2,956,000,000","2,124,000,000","2,961,000,000","2,937,000,000","3,063,000,000"
"	Other Operating Expenses",,,,,,,,,,,,,,,,"-2,000,000",
"Operating Income","4,599,000,000","4,637,000,000","5,352,000,000","5,234,000,000","4,547,000,000","5,094,000,000","5,527,000,000","4,969,000,000","5,731,000,000","6,106,000,000","5,619,000,000","2,639,000,000","1,889,000,000","4,699,000,000","2,811,000,000","2,826,000,000","2,957,000,000"
"Net Non Operating Interest Income Expense","-813,000,000","-825,000,000","-843,000,000","-872,000,000","-894,000,000","-2,032,000,000","-1,367,000,000","-1,325,000,000","-1,249,000,000","-1,234,000,000","-1,134,000,000","-1,321,000,000","-484,000,000","-501,000,000","-258,000,000","-4,000,000","-3,000,000"
"	Interest Income Non Operating","141,000,000","122,000,000","69,000,000","40,000,000","27,000,000","15,000,000","27,000,000","36,000,000","35,000,000",,,,,,,,
"	Interest Expense Non Operating","954,000,000","947,000,000","912,000,000","912,000,000","921,000,000","2,047,000,000","1,394,000,000","1,361,000,000","1,284,000,000","1,234,000,000","1,134,000,000","1,321,000,000","484,000,000","501,000,000","258,000,000","4,000,000","3,000,000"
"	Total Other Finance Cost",,,,,,,,,,,,,"484,000,000","501,000,000","258,000,000",,
"Other Income Expense","-9,239,000,000","-9,257,000,000","-3,653,000,000","-729,000,000","-687,000,000","-1,354,000,000","-3,130,000,000","-983,000,000","-15,803,000,000","578,000,000","454,000,000","-305,000,000","1,000,000","-108,000,000","-100,000,000","54,000,000","48,000,000"
"	Gain on Sale of Security","-32,000,000","-22,000,000","-24,000,000","-14,000,000","56,000,000","15,000,000","-8,000,000","29,000,000","-193,000,000",,,,,,,,
"	Special Income Charges","-9,358,000,000","-9,348,000,000","-3,750,000,000","-658,000,000","-888,000,000","-1,590,000,000","-3,401,000,000","-1,479,000,000","-15,951,000,000","-49,000,000","-18,000,000",,"1,000,000","-108,000,000","-141,000,000","2,000,000","8,000,000"
"		Impairment of Capital Assets","9,319,000,000","9,306,000,000","3,669,000,000","662,000,000","913,000,000","1,634,000,000","3,399,000,000","1,899,000,000","15,936,000,000","49,000,000","18,000,000",,,,,,
"		Write Off",,,,,,,,,,,,,"-1,000,000","108,000,000","141,000,000","-2,000,000","-8,000,000"
"		Gain on Sale of Business","-39,000,000","-42,000,000","-81,000,000","4,000,000","25,000,000","44,000,000","-2,000,000","420,000,000","-15,000,000",,,,,,,,
"	Other Non Operating Income Expenses","151,000,000","113,000,000","121,000,000","-57,000,000","145,000,000","221,000,000","279,000,000","467,000,000","341,000,000","627,000,000","472,000,000","-305,000,000",,"-22,000,000","41,000,000","52,000,000","40,000,000"
"Pretax Income","-5,453,000,000","-5,445,000,000","856,000,000","3,633,000,000","2,966,000,000","1,708,000,000","1,030,000,000","2,661,000,000","-11,321,000,000","5,450,000,000","4,939,000,000","1,013,000,000","1,406,000,000","4,090,000,000","2,453,000,000","2,876,000,000","3,002,000,000"
"Tax Provision","310,000,000","403,000,000","-1,890,000,000","787,000,000","598,000,000","684,000,000","669,000,000","728,000,000","-1,067,000,000","-5,482,000,000","1,333,000,000","366,000,000","363,000,000","1,375,000,000","811,000,000","1,101,000,000","1,112,000,000"
