name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
"Total Assets","71,487,000,000","68,497,000,000","71,391,000,000","71,161,000,000","67,092,000,000","67,810,000,000","64,515,000,000","62,729,000,000","62,957,000,000","61,538,000,000","62,843,000,000","66,771,000,000","72,515,000,000","75,477,000,000","93,837,000,000","95,289,000,000","66,714,000,000","63,078,000,000","67,993,000,000","55,574,000,000","57,628,000,000","59,928,000,000","59,285,000,000","57,100,000,000","55,798,000,000","52,071,000,000","30,336,000,000","31,391,000,000"
"	Current Assets","12,951,000,000","13,242,000,000","11,703,000,000","10,091,000,000","10,342,000,000","9,979,000,000","7,630,000,000","7,604,000,000","7,520,000,000","8,480,000,000","8,958,000,000","11,750,000,000","13,174,000,000","15,673,000,000","16,202,000,000","16,221,000,000","12,454,000,000","11,366,000,000","10,737,000,000","8,254,000,000","8,153,000,000","9,722,000,000","8,124,000,000","7,456,000,000","7,006,000,000","7,152,000,000",,
"		Cash, Cash Equivalents & Short Term Investments","2,125,000,000","1,351,000,000","1,810,000,000","1,923,000,000","3,546,000,000","3,619,000,000","1,291,000,000","1,100,000,000","761,000,000","1,741,000,000","1,870,000,000","1,631,000,000","2,622,000,000","4,475,000,000","1,974,000,000","2,481,000,000","2,101,000,000","1,244,000,000","567,000,000","239,000,000","316,000,000","282,000,000","514,000,000","215,000,000","162,000,000","191,000,000",,
"			Cash And Cash Equivalents","2,125,000,000","1,351,000,000","1,810,000,000","1,923,000,000","3,546,000,000","3,619,000,000","1,291,000,000","1,100,000,000","761,000,000","1,741,000,000","1,870,000,000","1,631,000,000","2,622,000,000","4,475,000,000","1,974,000,000","2,481,000,000","2,101,000,000","1,244,000,000","567,000,000","239,000,000","316,000,000","282,000,000","514,000,000","215,000,000","162,000,000","191,000,000",,
"		Receivables","4,858,000,000","4,811,000,000","4,512,000,000","3,907,000,000","3,188,000,000","2,954,000,000","2,927,000,000","3,006,000,000","3,526,000,000","3,470,000,000","3,846,000,000","4,751,000,000","5,403,000,000","6,129,000,000","6,361,000,000","6,539,000,000","5,197,000,000","4,704,000,000","5,197,000,000","3,869,000,000","3,385,000,000","3,541,000,000","3,369,000,000","3,116,000,000","3,131,000,000","3,231,000,000",,
"			Accounts receivable","3,903,000,000","3,874,000,000","3,634,000,000","3,088,000,000","2,337,000,000","2,297,000,000","2,212,000,000","2,262,000,000","2,691,000,000","2,611,000,000","2,634,000,000","3,802,000,000","4,463,000,000","6,129,000,000","6,361,000,000","6,539,000,000","5,197,000,000","4,704,000,000","5,197,000,000","3,869,000,000","3,385,000,000","3,541,000,000","3,369,000,000","3,116,000,000","3,131,000,000","3,231,000,000",,
"				Gross Accounts Receivable","3,938,000,000","3,911,000,000","3,700,000,000","3,133,000,000","2,374,000,000","2,339,000,000","2,247,000,000","2,302,000,000","2,741,000,000","2,669,000,000","2,688,000,000","3,868,000,000","4,549,000,000","6,247,000,000","6,504,000,000","6,785,000,000","5,318,000,000",,,,,,,,,,,
"				Allowance For Doubtful Accounts Receivable","-35,000,000","-37,000,000","-66,000,000","-45,000,000","-37,000,000","-42,000,000","-35,000,000","-40,000,000","-50,000,000","-58,000,000","-54,000,000","-66,000,000","-86,000,000","-118,000,000","-143,000,000","-246,000,000","-121,000,000",,,,,,,,,,,
"			Other Receivables","955,000,000","937,000,000","878,000,000","819,000,000","851,000,000","657,000,000","715,000,000","744,000,000","835,000,000","859,000,000","1,212,000,000","949,000,000","940,000,000",,,,,,,,,,,,,,,
"			Receivables Adjustments Allowances",,,,,,,"-44,000,000","-47,000,000","-98,000,000","-93,000,000","-109,000,000","-91,000,000","-73,000,000",,,,,,,,,,,,,,,
"		Inventory","4,419,000,000","3,827,000,000","3,615,000,000","3,381,000,000","2,708,000,000","2,647,000,000","2,546,000,000","2,592,000,000","2,557,000,000","2,469,000,000","2,609,000,000","3,480,000,000","3,743,000,000","3,741,000,000","5,706,000,000","5,310,000,000","3,775,000,000","3,729,000,000","4,096,000,000","3,506,000,000","3,343,000,000","3,447,000,000","3,343,000,000","3,382,000,000","3,026,000,000","3,041,000,000","2,563,000,000","2,570,000,000"
"			Raw Materials","1,015,000,000","958,000,000","973,000,000","1,031,000,000","770,000,000","718,000,000","707,000,000","726,000,000","711,000,000","722,000,000","782,000,000","1,215,000,000","1,165,000,000","1,213,000,000","1,800,000,000","1,743,000,000","1,410,000,000","1,568,000,000","1,697,000,000","1,389,000,000","1,363,000,000","1,367,000,000","1,375,000,000","1,372,000,000","1,281,000,000","1,175,000,000",,
"			Finished Goods","3,404,000,000","2,869,000,000","2,790,000,000","2,501,000,000","2,054,000,000","2,059,000,000","1,953,000,000","1,987,000,000","1,975,000,000","1,865,000,000","1,930,000,000","2,434,000,000","2,578,000,000","2,528,000,000","3,906,000,000","3,567,000,000","2,365,000,000","2,313,000,000","2,541,000,000","2,117,000,000","1,980,000,000","2,080,000,000","1,968,000,000","2,010,000,000","1,745,000,000","1,866,000,000",,
"			Inventories Adjustments Allowances",,"-171,000,000","-148,000,000","-151,000,000","-116,000,000","-130,000,000","-114,000,000","-121,000,000","-129,000,000","-118,000,000","-103,000,000","-169,000,000",,,,,,"-152,000,000","-142,000,000",,,,,,,,,
"		Current Deferred Assets",,,,,,,,,,,,"480,000,000","517,000,000","593,000,000","912,000,000","898,000,000","730,000,000","861,000,000","575,000,000","387,000,000","879,000,000","749,000,000","681,000,000","511,000,000","466,000,000","504,000,000",,
"			Current Deferred Taxes Assets",,,,,,,,,,,,"480,000,000","517,000,000","593,000,000","912,000,000","898,000,000","730,000,000","861,000,000","575,000,000","387,000,000","879,000,000","749,000,000","681,000,000","511,000,000","466,000,000","504,000,000",,
"		Other Current Assets","1,549,000,000","3,253,000,000","1,766,000,000","880,000,000","900,000,000","759,000,000","866,000,000","906,000,000","676,000,000","800,000,000","633,000,000","1,408,000,000","889,000,000","735,000,000","1,249,000,000","993,000,000","651,000,000","828,000,000","302,000,000","253,000,000","230,000,000","1,703,000,000","217,000,000","232,000,000","221,000,000","185,000,000",,
"	Total non-current assets","58,536,000,000","55,255,000,000","59,688,000,000","61,070,000,000","56,750,000,000","57,831,000,000","56,885,000,000","55,125,000,000","55,437,000,000","53,058,000,000","53,885,000,000","55,021,000,000","59,341,000,000","59,804,000,000","77,635,000,000","79,068,000,000","54,260,000,000","51,712,000,000","57,256,000,000","47,320,000,000","49,475,000,000","50,206,000,000","51,161,000,000","49,644,000,000","48,792,000,000","44,919,000,000",,
"		Net PPE","11,398,000,000","10,248,000,000","10,377,000,000","9,680,000,000","9,271,000,000","9,664,000,000","9,301,000,000","8,482,000,000","8,677,000,000","8,229,000,000","8,362,000,000","9,827,000,000","10,247,000,000","10,010,000,000","13,813,000,000","13,792,000,000","10,693,000,000","9,917,000,000","10,778,000,000","9,693,000,000","9,817,000,000","9,985,000,000","10,155,000,000","9,559,000,000","9,109,000,000","9,405,000,000","6,526,000,000","6,494,000,000"
"			Gross PPE","20,793,000,000","18,383,000,000","18,373,000,000","16,891,000,000","16,705,000,000","16,993,000,000","16,105,000,000","15,245,000,000","15,680,000,000","14,687,000,000","14,554,000,000","16,912,000,000","17,614,000,000","16,856,000,000","23,932,000,000","23,030,000,000","19,423,000,000","17,815,000,000","19,204,000,000","17,050,000,000","16,598,000,000","16,483,000,000","15,805,000,000","14,450,000,000","13,272,000,000","13,042,000,000","6,526,000,000","6,494,000,000"
"				Properties","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"				Land And Improvements","404,000,000","373,000,000","384,000,000","378,000,000","379,000,000","422,000,000","422,000,000","424,000,000","458,000,000","471,000,000","495,000,000","574,000,000","617,000,000","643,000,000","768,000,000","795,000,000","492,000,000","462,000,000","454,000,000","389,000,000","388,000,000","400,000,000","407,000,000","387,000,000","387,000,000","419,000,000",,
"				Buildings And Improvements","3,963,000,000","3,453,000,000","3,452,000,000","3,250,000,000","3,139,000,000","3,252,000,000","3,140,000,000","2,984,000,000","2,979,000,000","2,801,000,000","2,753,000,000","3,117,000,000","3,270,000,000","3,199,000,000","4,997,000,000","4,934,000,000","4,231,000,000","3,913,000,000","4,121,000,000","3,657,000,000","3,551,000,000","3,545,000,000","3,422,000,000","3,153,000,000","2,915,000,000","2,949,000,000",,
"				Machinery Furniture Equipment","14,610,000,000","12,732,000,000","12,736,000,000","11,724,000,000","11,842,000,000","12,053,000,000","11,295,000,000","10,943,000,000","11,195,000,000","10,302,000,000","10,044,000,000","11,737,000,000","12,351,000,000","11,992,000,000","16,934,000,000","16,147,000,000","13,872,000,000","12,590,000,000","13,750,000,000","12,164,000,000","12,008,000,000","11,892,000,000","11,293,000,000","10,108,000,000","9,264,000,000","8,858,000,000",,
"				Other Properties","731,000,000","767,000,000","683,000,000","660,000,000","613,000,000","638,000,000","568,000,000",,,,,,,,,,,,,,,,,,,,,
"				Construction in Progress","1,085,000,000","1,058,000,000","1,118,000,000","879,000,000","732,000,000","628,000,000","680,000,000","894,000,000","1,048,000,000","1,113,000,000","1,262,000,000","1,484,000,000","1,376,000,000","1,022,000,000","1,233,000,000","1,154,000,000","828,000,000","850,000,000","879,000,000","840,000,000","651,000,000","646,000,000","683,000,000","802,000,000","706,000,000","816,000,000",,
"			Accumulated Depreciation","-9,395,000,000","-8,135,000,000","-7,996,000,000","-7,211,000,000","-7,434,000,000","-7,329,000,000","-6,804,000,000","-6,763,000,000","-7,003,000,000","-6,458,000,000","-6,192,000,000","-7,085,000,000","-7,367,000,000","-6,846,000,000","-10,119,000,000","-9,238,000,000","-8,730,000,000","-7,898,000,000","-8,426,000,000","-7,357,000,000","-6,781,000,000","-6,498,000,000","-5,650,000,000","-4,891,000,000","-4,163,000,000","-3,637,000,000",,
"		Goodwill And Other Intangible Assets","43,964,000,000","41,865,000,000","43,732,000,000","43,160,000,000","40,269,000,000","40,377,000,000","38,805,000,000","38,727,000,000","39,724,000,000","38,377,000,000","39,432,000,000","43,724,000,000","47,591,000,000","48,292,000,000","62,483,000,000","63,819,000,000","42,193,000,000","40,507,000,000","43,393,000,000","35,730,000,000","35,164,000,000","35,811,000,000","36,879,000,000","36,420,000,000","35,957,000,000","31,584,000,000",,
"			Goodwill","24,336,000,000","23,017,000,000","23,896,000,000","23,450,000,000","21,978,000,000","21,895,000,000","20,848,000,000","20,725,000,000","21,085,000,000","20,276,000,000","20,664,000,000","23,389,000,000","25,597,000,000","25,740,000,000","37,297,000,000","37,856,000,000","28,764,000,000","27,581,000,000","31,193,000,000","25,553,000,000","24,648,000,000",,,,,,,
"			Other Intangible Assets","19,628,000,000","18,848,000,000","19,836,000,000","19,710,000,000","18,291,000,000","18,482,000,000","17,957,000,000","18,002,000,000","18,639,000,000","18,101,000,000","18,768,000,000","20,335,000,000","21,994,000,000","22,552,000,000","25,186,000,000","25,963,000,000","13,429,000,000","12,926,000,000","12,200,000,000","10,177,000,000","10,516,000,000","35,811,000,000","36,879,000,000","36,420,000,000","35,957,000,000","31,584,000,000",,
"		Investments And Advances","667,000,000","635,000,000","3,242,000,000","4,879,000,000","5,289,000,000","6,036,000,000","7,178,000,000","7,123,000,000","6,193,000,000","5,585,000,000","5,387,000,000","662,000,000",,,,,,,,,,,,,,,,
"			Long Term Equity Investment","667,000,000","635,000,000","3,242,000,000","4,879,000,000","5,289,000,000","6,036,000,000","7,178,000,000","7,123,000,000","6,193,000,000","5,585,000,000","5,387,000,000","662,000,000",,,,,,,,,,,,,,,,
