name,ttm,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
"Total Revenue","39,304,000,000","38,537,000,000","36,441,000,000","36,016,000,000","31,496,000,000","28,720,000,000","26,581,000,000","25,868,000,000","25,938,000,000","25,896,000,000","25,923,000,000","29,636,000,000","34,244,000,000","35,299,000,000","35,015,000,000","35,810,000,000","31,489,000,000","38,754,000,000","40,492,000,000","36,134,000,000","33,256,000,000","34,113,000,000","32,168,000,000","30,498,000,000","29,248,000,000","29,234,000,000","22,922,000,000","23,430,000,000","24,140,000,000"
"	Operating Revenue","39,304,000,000","38,537,000,000","36,441,000,000","36,016,000,000","31,496,000,000","28,720,000,000","26,581,000,000","25,868,000,000","25,938,000,000","25,896,000,000","25,923,000,000","29,636,000,000","34,244,000,000","35,299,000,000","35,015,000,000","35,810,000,000","31,489,000,000","38,754,000,000","40,492,000,000","36,134,000,000","33,256,000,000","34,113,000,000","32,168,000,000","30,498,000,000","29,248,000,000","29,234,000,000","22,922,000,000","23,430,000,000","24,140,000,000"
"Cost of Revenue","27,996,000,000","27,602,000,000","22,184,000,000","22,252,000,000","20,184,000,000","17,466,000,000","16,135,000,000","15,531,000,000","15,586,000,000","15,862,000,000","15,819,000,000","18,124,000,000","21,647,000,000","22,189,000,000","21,939,000,000","22,710,000,000","19,617,000,000","24,819,000,000","27,164,000,000","24,057,000,000","21,344,000,000","21,845,000,000","20,281,000,000","18,531,000,000","17,463,000,000","17,566,000,000","13,959,000,000","14,615,000,000","15,586,000,000"
"Gross Profit","11,308,000,000","10,935,000,000","14,257,000,000","13,764,000,000","11,312,000,000","11,254,000,000","10,446,000,000","10,337,000,000","10,352,000,000","10,034,000,000","10,104,000,000","11,512,000,000","12,597,000,000","13,110,000,000","13,076,000,000","13,100,000,000","11,872,000,000","13,935,000,000","13,328,000,000","12,077,000,000","11,912,000,000","12,268,000,000","11,887,000,000","11,967,000,000","11,785,000,000","11,668,000,000","8,963,000,000","8,815,000,000","8,554,000,000"
"Operating Expense","7,510,000,000","7,315,000,000","7,592,000,000","8,153,000,000","7,516,000,000","6,397,000,000","6,292,000,000","6,310,000,000","6,651,000,000","6,116,000,000","6,722,000,000","7,758,000,000","8,663,000,000","8,896,000,000","9,393,000,000","9,607,000,000","9,350,000,000","8,810,000,000","8,636,000,000","8,111,000,000","7,758,000,000","7,519,000,000","7,275,000,000","6,107,000,000","5,824,000,000","6,784,000,000","4,951,000,000","5,236,000,000","5,019,000,000"
"	Selling General and Administrative","7,378,000,000","7,173,000,000","7,439,000,000","8,002,000,000","7,384,000,000","6,263,000,000","6,098,000,000","6,136,000,000","6,475,000,000","5,938,000,000","6,546,000,000","7,577,000,000","8,457,000,000","8,679,000,000","9,176,000,000","9,382,000,000","9,140,000,000","8,784,000,000","8,613,000,000","7,673,000,000","7,120,000,000","7,138,000,000","6,658,000,000","6,136,000,000","5,644,000,000","5,748,000,000","4,588,000,000",,
"	Depreciation Amortization Depletion","132,000,000","142,000,000","153,000,000","151,000,000","132,000,000","134,000,000","194,000,000","174,000,000","176,000,000","178,000,000","176,000,000","181,000,000","206,000,000","217,000,000","217,000,000","225,000,000","210,000,000","26,000,000","23,000,000","13,000,000","7,000,000","10,000,000","11,000,000","9,000,000","7,000,000","962,000,000","535,000,000",,
"		Depreciation & amortization","132,000,000","142,000,000","153,000,000","151,000,000","132,000,000","134,000,000","194,000,000","174,000,000","176,000,000","178,000,000","176,000,000","181,000,000","206,000,000","217,000,000","217,000,000","225,000,000","210,000,000","26,000,000","23,000,000","13,000,000","7,000,000","10,000,000","11,000,000","9,000,000","7,000,000","962,000,000","535,000,000",,
"			Depreciation",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,034,000,000",,
"			Amortization","132,000,000","142,000,000","153,000,000","151,000,000","132,000,000","134,000,000","194,000,000","174,000,000","176,000,000","178,000,000","176,000,000","181,000,000","206,000,000","217,000,000","217,000,000","225,000,000","210,000,000","26,000,000","23,000,000","13,000,000","7,000,000","10,000,000","11,000,000","9,000,000","7,000,000","962,000,000","535,000,000",,
