Issuer,Yield,Coupon,Price,Maturity,Rating,
MDLZ,6.40%,4.63%,$79.20 ,5/7/2048,BBB,
MDLZ,5.75%,6.50%,$107.02 ,2/9/2040,BBB,
MDLZ,5.70%,2.63%,$59.79 ,9/4/2050,BBB,
MDLZ,5.59%,6.88%,$110.93 ,2/1/2038,BBB,
MDLZ,5.56%,6.88%,$111.87 ,1/26/2039,BBB,
MDLZ,5.47%,7.00%,$112.71 ,8/11/2037,BBB,
MDLZ,5.06%,4.75%,$97.90 ,8/28/2034,BBB,
MDLZ,5.01%,5.13%,$100.81 ,5/6/2035,BBB,
MDLZ,4.86%,3.00%,$90.66 ,3/17/2032,BBB,
MDLZ,4.72%,6.50%,$108.48 ,11/1/2031,BBB,
MDLZ,4.68%,1.50%,$86.69 ,2/4/2031,BBB,
MDLZ,4.63%,4.50%,$99.53 ,5/6/2030,BBB,
MDLZ,4.61%,2.75%,$93.42 ,4/13/2030,BBB,
MDLZ,4.56%,1.88%,$85.23 ,10/15/2032,BBB,
MDLZ,4.42%,4.13%,$99.44 ,5/7/2028,BBB,
MDLZ,4.42%,4.75%,$100.82 ,2/20/2029,BBB,
MDLZ,4.39%,4.25%,$99.73 ,5/6/2028,BBB,
MDLZ,4.16%,2.63%,$98.75 ,3/17/2027,BBB,
