name,ttm,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
"Total Revenue","89,885,000,000","89,885,000,000","91,720,000,000","93,351,000,000","94,780,000,000","87,470,000,000","84,681,000,000","92,865,000,000","91,750,000,000","89,922,000,000","89,786,000,000","89,083,000,000","91,865,000,000","92,373,000,000","89,931,000,000","83,770,000,000","88,015,000,000","100,579,000,000","103,086,000,000","107,552,000,000","98,458,000,000","91,115,000,000","84,690,000,000","87,979,000,000","89,160,000,000","84,698,000,000","81,422,000,000","74,660,000,000","71,747,000,000"
"	Operating Revenue","89,885,000,000","89,885,000,000","91,720,000,000","93,351,000,000","94,780,000,000","87,470,000,000","84,681,000,000","92,865,000,000","91,750,000,000","89,922,000,000","89,786,000,000","89,083,000,000","91,865,000,000","92,373,000,000","89,931,000,000","83,770,000,000","88,015,000,000","100,579,000,000","103,086,000,000","107,552,000,000","98,458,000,000","91,115,000,000","84,690,000,000","87,979,000,000","89,160,000,000","84,698,000,000","81,422,000,000","74,660,000,000","71,747,000,000"
"Cost of Revenue","48,694,000,000","48,694,000,000","48,670,000,000","50,328,000,000","51,745,000,000","45,468,000,000","42,971,000,000","46,647,000,000","46,070,000,000","45,571,000,000","44,199,000,000","44,730,000,000","47,553,000,000","48,111,000,000","47,500,000,000","44,127,000,000","44,775,000,000","43,467,000,000","45,756,000,000","45,037,000,000","40,713,000,000","37,917,000,000","35,312,000,000","37,583,000,000","38,521,000,000","37,756,000,000","38,121,000,000","35,912,000,000","35,963,000,000"
"Gross Profit","41,191,000,000","41,191,000,000","43,050,000,000","43,023,000,000","43,035,000,000","42,002,000,000","41,710,000,000","46,218,000,000","45,680,000,000","44,351,000,000","45,587,000,000","44,353,000,000","44,312,000,000","44,262,000,000","42,431,000,000","39,643,000,000","43,240,000,000","57,112,000,000","57,330,000,000","62,515,000,000","57,745,000,000","53,198,000,000","49,378,000,000","50,396,000,000","50,639,000,000","46,942,000,000","43,301,000,000","38,748,000,000","35,784,000,000"
"Operating Expense","27,210,000,000","27,210,000,000","27,437,000,000","27,352,000,000","27,367,000,000","27,072,000,000","27,262,000,000","30,184,000,000","30,277,000,000","29,506,000,000","31,329,000,000","30,505,000,000","30,163,000,000","29,206,000,000","28,721,000,000","26,547,000,000","29,735,000,000","44,620,000,000","45,947,000,000","48,081,000,000","44,229,000,000","42,242,000,000","40,201,000,000","40,961,000,000","41,976,000,000","37,633,000,000","33,803,000,000","30,432,000,000","28,479,000,000"
"	Selling General and Administrative","25,189,000,000","25,189,000,000","25,679,000,000","25,314,000,000","25,236,000,000","25,213,000,000","25,231,000,000","28,286,000,000","28,472,000,000","27,841,000,000","29,544,000,000","28,643,000,000","27,868,000,000","27,867,000,000","27,058,000,000","24,997,000,000","27,799,000,000","42,533,000,000","42,731,000,000","45,616,000,000","42,709,000,000","39,823,000,000","37,185,000,000","38,185,000,000","38,491,000,000","6,421,000,000","32,351,000,000","29,155,000,000","27,371,000,000"
"		General & Administrative Expense",,,,,,,,,,,,,,,,,,,,,,,"6,838,000,000","7,104,000,000","7,112,000,000","29,372,000,000","26,467,000,000","23,887,000,000","22,484,000,000"
"		Selling & Marketing Expense","25,189,000,000","25,189,000,000","25,679,000,000","25,314,000,000","25,236,000,000","25,213,000,000","25,231,000,000","28,286,000,000","28,472,000,000","27,841,000,000","29,544,000,000","28,643,000,000","27,868,000,000","27,867,000,000","27,058,000,000","24,997,000,000","27,799,000,000","42,533,000,000","42,731,000,000","45,616,000,000","42,709,000,000","39,823,000,000","30,347,000,000","31,081,000,000","31,379,000,000","6,421,000,000","5,884,000,000","5,268,000,000","4,887,000,000"
"	Research & Development","1,613,000,000","1,613,000,000","1,667,000,000","1,656,000,000","1,696,000,000","1,670,000,000","1,576,000,000","1,672,000,000","1,687,000,000","1,739,000,000","1,736,000,000","1,678,000,000","1,628,000,000","1,503,000,000","1,413,000,000","1,423,000,000","1,403,000,000","1,357,000,000","1,359,000,000","1,875,000,000","1,734,000,000","1,499,000,000","1,433,000,000","1,205,000,000","1,208,000,000","1,162,000,000","1,038,000,000","893,000,000","807,000,000"
"	Other Operating Expenses","635,000,000","635,000,000","399,000,000","653,000,000","726,000,000","801,000,000","808,000,000","515,000,000","346,000,000","357,000,000","299,000,000","348,000,000","848,000,000","419,000,000","291,000,000","286,000,000","571,000,000","1,196,000,000","2,042,000,000","1,285,000,000","516,000,000","920,000,000",,,"33,656,000,000","30,050,000,000",,,
"Operating Income","13,981,000,000","13,981,000,000","15,613,000,000","15,671,000,000","15,668,000,000","14,930,000,000","14,448,000,000","16,034,000,000","15,403,000,000","14,845,000,000","14,258,000,000","13,848,000,000","14,149,000,000","15,056,000,000","13,710,000,000","13,096,000,000","13,505,000,000","12,492,000,000","11,383,000,000","14,434,000,000","13,516,000,000","10,956,000,000","9,177,000,000","9,435,000,000","8,663,000,000","9,309,000,000","9,498,000,000","8,316,000,000","7,305,000,000"
"Net Non Operating Interest Income Expense","-1,526,000,000","-1,526,000,000","-1,485,000,000","-1,360,000,000","-1,040,000,000","-873,000,000","-874,000,000","-1,016,000,000","-761,000,000","-696,000,000","-637,000,000","-624,000,000","-637,000,000","-631,000,000","-705,000,000","-421,000,000","-776,000,000","-694,000,000","-1,018,000,000","-1,074,000,000","-681,000,000","-587,000,000","-669,000,000","14,000,000","-665,000,000",,,,
