Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.375000,2.451389,2.256944,2.402778,0.865963,140122800
1985-02-01,2.402778,2.722222,2.347222,2.666667,0.961069,123732000
1985-03-01,2.666667,3.069444,2.645833,3.034722,1.093716,169671600
1985-04-01,3.034722,3.034722,2.805556,3.000000,1.090647,146140200
1985-05-01,3.055556,3.243056,2.923611,3.236111,1.176484,146062800
1985-06-01,3.277778,3.347222,3.187500,3.340278,1.214354,124749000
1985-07-01,3.333333,3.361111,3.069444,3.180556,1.164927,157482000
1985-08-01,3.194444,3.305556,3.131944,3.305556,1.210711,72124200
1985-09-01,3.305556,3.361111,3.187500,3.326389,1.218340,75801600
1985-10-01,3.333333,3.569444,3.277778,3.493056,1.289129,104531400
1985-11-01,3.493056,3.861111,3.479167,3.798611,1.401897,62560800
1985-12-01,3.805556,4.187500,3.763889,4.041667,1.491597,107505000
1986-01-01,4.034722,4.090278,3.666667,3.944444,1.465029,108340200
1986-02-01,3.951389,4.305556,3.847222,4.291667,1.593994,145519200
1986-03-01,4.291667,4.833333,4.277778,4.763889,1.769385,103867200
1986-04-01,4.763889,5.291667,4.472222,4.902778,1.831204,119993400
1986-05-01,4.819444,5.895833,4.638889,5.645833,2.108737,112819800
1986-06-01,5.645833,5.875000,5.458333,5.625000,2.100956,96862800
1986-07-01,5.625000,5.937500,4.979167,5.104167,1.915210,110920200
1986-08-01,5.125000,5.500000,5.041667,5.312500,1.993382,65061600
1986-09-01,5.333333,5.333333,4.083333,4.416667,1.657242,133881000
1986-10-01,4.458333,4.854167,4.229167,4.583333,1.729532,108854400
1986-11-01,4.583333,4.916667,4.166667,4.604167,1.737394,78437400
1986-12-01,4.520833,4.750000,4.270833,4.333333,1.635194,89069400
1987-01-01,4.375000,5.479167,4.333333,5.187500,1.969078,154501200
1987-02-01,5.125000,5.583333,5.104167,5.541667,2.103514,97323600
1987-03-01,5.562500,5.958333,5.354167,5.708333,2.166775,127261800
1987-04-01,5.541667,6.000000,5.020833,5.333333,2.033731,101958600
1987-05-01,5.333333,5.916667,4.958333,5.833333,2.224392,104049000
1987-06-01,5.770833,6.229167,5.604167,6.000000,2.287948,99363600
1987-07-01,5.916667,6.645833,5.708333,6.500000,2.490537,97011600
1987-08-01,6.458333,7.041667,6.208333,6.500000,2.490537,87384000
1987-09-01,6.604167,6.833333,6.020833,6.625000,2.538431,96512400
1987-10-01,6.604167,6.770833,3.583333,5.645833,2.172786,142600200
1987-11-01,5.500000,5.750000,4.979167,5.166667,1.988381,82489800
1987-12-01,5.270833,5.750000,5.000000,5.562500,2.140717,80635200
1988-01-01,5.562500,5.916667,5.000000,5.583333,2.160630,60889200
1988-02-01,5.604167,5.979167,5.437500,5.916667,2.289624,74884200
1988-03-01,5.895833,5.979167,5.625000,5.833333,2.257374,81705600
1988-04-01,5.791667,6.145833,5.541667,5.791667,2.252072,74170200
1988-05-01,5.833333,6.041667,5.458333,6.041667,2.349286,53329800
1988-06-01,6.000000,6.333333,5.916667,6.208333,2.414093,88179000
1988-07-01,6.229167,6.250000,5.583333,6.020833,2.354412,59908800
1988-08-01,6.020833,6.104167,5.687500,5.979167,2.338119,56747400
1988-09-01,5.937500,6.583333,5.812500,6.541667,2.558081,64338600
1988-10-01,6.500000,7.270833,6.333333,6.916667,2.720876,87745200
1988-11-01,6.916667,6.958333,6.416667,6.812500,2.679898,64981200
1988-12-01,6.812500,6.812500,6.270833,6.583333,2.589749,94162200
1989-01-01,6.583333,6.854167,6.291667,6.791667,2.686309,94891800
1989-02-01,6.750000,6.916667,6.500000,6.666667,2.636865,64924200
1989-03-01,6.729167,7.416667,6.645833,7.416667,2.933514,90967800
1989-04-01,7.395833,7.937500,7.354167,7.937500,3.155833,76909200
1989-05-01,7.916667,9.041667,7.895833,9.020833,3.586550,97374600
1989-06-01,9.000000,9.437500,8.520833,8.875000,3.528568,81565200
1989-07-01,8.854167,10.354167,8.687500,10.354167,4.135461,72543600
1989-08-01,10.312500,10.395833,9.479167,9.833333,3.927438,90161400
1989-09-01,9.833333,9.937500,9.187500,9.812500,3.919122,70527000
1989-10-01,9.770833,10.354167,8.979167,10.333333,4.144703,84387600
1989-11-01,10.270833,10.875000,9.895833,10.583333,4.244978,56536200
1989-12-01,10.645833,10.979167,10.166667,10.666667,4.278403,56111400
1990-01-01,10.666667,10.770833,9.000000,9.583333,3.858863,85749000
1990-02-01,9.583333,10.083333,9.354167,9.750000,3.925974,63050400
1990-03-01,9.708333,10.687500,9.416667,10.437500,4.202805,84162000
1990-04-01,10.312500,11.416667,10.291667,11.041667,4.465712,67071600
1990-05-01,11.187500,12.395833,10.937500,12.312500,4.979691,76986600
1990-06-01,12.416667,13.041667,12.000000,12.937500,5.232466,70145400
1990-07-01,12.895833,13.916667,12.750000,12.833333,5.211180,77839800
1990-08-01,12.833333,13.166667,10.875000,12.520833,5.084287,117313800
1990-09-01,12.291667,12.937500,10.500000,11.500000,4.669761,63579800
1990-10-01,11.562500,12.750000,11.062500,12.000000,4.892167,68943200
1990-11-01,12.000000,13.250000,11.562500,12.812500,5.223407,54994400
1990-12-01,12.937500,13.937500,12.750000,13.000000,5.299848,46912600
1991-01-01,13.125000,14.000000,11.750000,13.750000,5.626743,65716600
1991-02-01,13.625000,17.562500,13.250000,16.375000,6.700943,82425600
1991-03-01,15.875000,17.375000,15.562500,17.125000,7.007854,70618200
1991-04-01,17.000000,17.812500,14.750000,15.937500,6.541728,88128400
1991-05-01,16.000000,16.625000,15.375000,15.687500,6.439115,78069400
1991-06-01,15.562500,15.750000,13.875000,14.500000,5.951693,116549000
1991-07-01,14.687500,16.062500,14.062500,15.937500,6.567357,96491400
1991-08-01,15.875000,16.750000,14.937500,16.187500,6.670376,70790600
1991-09-01,16.187500,16.187500,14.000000,14.250000,5.871994,105258600
1991-10-01,14.312500,14.750000,13.500000,14.250000,5.896285,79028000
1991-11-01,14.250000,15.062500,14.000000,14.812500,6.129033,56326600
1991-12-01,14.687500,17.187500,14.687500,16.937500,7.008304,69451400
1992-01-01,16.750000,17.875000,16.000000,16.875000,7.010254,77569200
1992-02-01,16.500000,17.062500,15.250000,16.125000,6.698685,58246400
1992-03-01,16.312500,17.375000,15.562500,17.125000,7.114107,53426200
1992-04-01,17.062500,18.250000,16.687500,18.250000,7.610218,63757800
1992-05-01,18.250000,18.437500,17.375000,18.250000,7.610218,46047400
1992-06-01,18.062500,18.312500,17.062500,17.437500,7.271409,42963600
1992-07-01,17.437500,18.937500,17.437500,18.687500,7.821198,50796800
1992-08-01,18.562500,19.437500,18.375000,18.750000,7.847354,37700600
1992-09-01,18.625000,19.437500,18.062500,18.937500,7.925825,45636600
1992-10-01,19.250000,20.187500,18.625000,19.937500,8.373000,52901200
1992-11-01,19.875000,21.312500,19.062500,20.375000,8.556734,46322800
1992-12-01,20.375000,21.687500,20.187500,20.750000,8.714220,46679000
1993-01-01,20.687500,21.250000,19.312500,20.937500,8.820340,51759000
1993-02-01,20.875000,21.187500,19.250000,19.937500,8.399077,49501400
1993-03-01,19.875000,21.812500,19.625000,21.437500,9.030974,53272600
1993-04-01,21.500000,21.562500,17.500000,18.812500,7.950127,100269400
1993-05-01,18.750000,19.062500,17.812500,18.125000,7.659580,87628800
1993-06-01,18.250000,18.562500,17.250000,18.500000,7.818062,85744200
1993-07-01,18.437500,19.250000,17.312500,18.687500,7.932553,71026200
1993-08-01,18.750000,20.062500,18.375000,19.687500,8.357037,49333200
1993-09-01,19.500000,20.937500,19.437500,19.625000,8.330506,54844600
1993-10-01,19.562500,20.687500,19.000000,19.750000,8.418098,44177200
1993-11-01,19.687500,20.375000,18.812500,20.125000,8.577939,48116400
1993-12-01,20.125000,21.250000,19.812500,20.437500,8.711141,45539200
1994-01-01,20.500000,20.562500,19.562500,20.187500,8.639250,49548400
1994-02-01,19.937500,20.000000,19.000000,19.562500,8.371779,53993200
1994-03-01,19.625000,19.750000,17.875000,18.312500,7.836839,78254400
1994-04-01,18.000000,18.562500,17.812500,18.250000,7.843113,49855200
1994-05-01,18.375000,18.875000,17.562500,18.000000,7.735675,46699200
1994-06-01,17.937500,18.437500,14.937500,15.312500,6.580698,155468600
