name,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
"Total Assets","107,399,000,000","99,467,000,000","100,495,000,000","92,187,000,000","92,377,000,000","92,918,000,000","78,547,000,000","77,648,000,000","79,804,000,000","73,490,000,000","69,667,000,000","70,509,000,000","77,478,000,000","74,638,000,000","72,882,000,000","68,153,000,000","39,848,000,000","35,994,000,000","34,628,000,000","29,930,000,000","31,727,000,000","27,987,000,000","25,327,000,000","23,474,000,000","21,695,000,000","20,757,000,000","17,551,000,000","22,660,000,000","20,101,000,000","22,160,000,000","25,432,000,000","24,792,000,000","23,705,800,000","20,951,200,000","18,775,100,000","17,143,400,000","15,126,700,000","11,135,300,000","9,022,700,000","8,028,600,000","5,861,200,000"
"	Current Assets","27,949,000,000","25,826,000,000","26,950,000,000","21,539,000,000","21,783,000,000","23,001,000,000","17,645,000,000","21,893,000,000","31,027,000,000","26,450,000,000","23,031,000,000","20,663,000,000","22,203,000,000","18,720,000,000","17,441,000,000","17,569,000,000","12,571,000,000","10,806,000,000","10,151,000,000","9,130,000,000","10,454,000,000","8,639,000,000","6,930,000,000","6,413,000,000","5,853,000,000","5,617,000,000","4,173,000,000","4,362,000,000","6,251,000,000","3,950,000,000","5,546,000,000","5,072,200,000","5,164,100,000","4,842,300,000","4,566,100,000","4,081,400,000","3,550,800,000","3,264,700,000","2,939,600,000","2,503,800,000","2,794,500,000"
"		Cash, Cash Equivalents & Short Term Investments","9,530,000,000","9,266,000,000","10,003,000,000","5,348,000,000","5,988,000,000","9,551,000,000","5,738,000,000","8,993,000,000","19,510,000,000","16,125,000,000","12,009,000,000","8,726,000,000","9,678,000,000","6,619,000,000","4,425,000,000","6,369,000,000","4,135,000,000","2,277,000,000","2,481,000,000","2,822,000,000","4,882,000,000","3,445,000,000","2,001,000,000","1,845,000,000","1,649,000,000","1,505,000,000","1,056,000,000","311,000,000","1,928,000,000","307,000,000","382,000,000","330,700,000","226,900,000","169,900,000","186,700,000","170,800,000","76,200,000","1,617,800,000","1,352,600,000","920,500,000","912,200,000"
"			Cash And Cash Equivalents","9,159,000,000","8,505,000,000","9,711,000,000","4,954,000,000","5,596,000,000","8,185,000,000","5,509,000,000","8,721,000,000","10,610,000,000","9,158,000,000","9,096,000,000","6,134,000,000","9,375,000,000","6,297,000,000","4,067,000,000","5,943,000,000","3,943,000,000","2,064,000,000","910,000,000","1,651,000,000","1,716,000,000","1,280,000,000","820,000,000","1,638,000,000","683,000,000","1,038,000,000","964,000,000","311,000,000","1,928,000,000","307,000,000","382,000,000","330,700,000","226,900,000","169,900,000","186,700,000","170,800,000","76,200,000","1,617,800,000","1,352,600,000","920,500,000","912,200,000"
"			Other Short Term Investments","371,000,000","761,000,000","292,000,000","394,000,000","392,000,000","1,366,000,000","229,000,000","272,000,000","8,900,000,000","6,967,000,000","2,913,000,000","2,592,000,000","303,000,000","322,000,000","358,000,000","426,000,000","192,000,000","213,000,000","1,571,000,000","1,171,000,000","3,166,000,000","2,165,000,000","1,181,000,000","207,000,000","966,000,000","467,000,000","92,000,000",,,,,,,,,,,,,,
"		Receivables","11,506,000,000","10,333,000,000","10,815,000,000","10,163,000,000","8,680,000,000","8,404,000,000","7,822,000,000","7,142,000,000","7,024,000,000","6,694,000,000","6,437,000,000","6,651,000,000","6,954,000,000","7,041,000,000","6,912,000,000","6,323,000,000","4,624,000,000","4,683,000,000","4,389,000,000","3,725,000,000","3,261,000,000","2,999,000,000","2,830,000,000","2,531,000,000","2,142,000,000","2,129,000,000","1,704,000,000","2,453,000,000","2,150,000,000","2,276,000,000","2,407,000,000","2,050,900,000","1,883,400,000","1,588,500,000","1,481,700,000","1,414,700,000","1,239,700,000","979,300,000","885,600,000","820,200,000","1,024,200,000"
"			Accounts receivable","9,265,000,000","8,487,000,000","8,675,000,000","8,192,000,000","7,172,000,000","6,892,000,000","6,447,000,000","6,079,000,000","5,956,000,000","5,709,000,000","5,497,000,000","5,817,000,000","6,178,000,000","6,215,000,000","6,036,000,000","5,514,000,000","4,624,000,000","3,784,000,000","3,670,000,000","3,725,000,000","3,261,000,000","2,999,000,000","2,830,000,000","2,531,000,000","2,142,000,000","2,129,000,000","1,704,000,000",,,,,,,,,,,,,,
"				Gross Accounts Receivable",,,,,,,,,,,,,,,"7,069,000,000","6,467,000,000","4,714,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"				Allowance For Doubtful Accounts Receivable",,,,,,,,,,,,,,,"-157,000,000","-144,000,000","-90,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"			Other Receivables","2,471,000,000","2,202,000,000","2,315,000,000","2,121,000,000","1,655,000,000","1,713,000,000","1,480,000,000","1,164,000,000","1,197,000,000","1,119,000,000","1,070,000,000","971,000,000","921,000,000","983,000,000","1,033,000,000","953,000,000","688,000,000","969,000,000","788,000,000",,,,,,,,,,,,,,,,,,,,,,
"			Receivables Adjustments Allowances","-230,000,000","-356,000,000","-175,000,000","-150,000,000","-147,000,000","-201,000,000","-105,000,000","-101,000,000","-129,000,000","-134,000,000","-130,000,000","-137,000,000","-145,000,000","-157,000,000","-157,000,000","-144,000,000","-90,000,000","-70,000,000","-69,000,000",,,,,,,,,,,,,,,,,,,,,,
"		Inventory","5,845,000,000","5,306,000,000","5,334,000,000","5,222,000,000","4,347,000,000","4,172,000,000","3,338,000,000","3,128,000,000","2,947,000,000","2,723,000,000","2,720,000,000","3,143,000,000","3,409,000,000","3,581,000,000","3,827,000,000","3,372,000,000","2,618,000,000","2,522,000,000","2,290,000,000","1,926,000,000","1,693,000,000","1,541,000,000","1,412,000,000","1,342,000,000","1,310,000,000","1,192,000,000","899,000,000","1,016,000,000","732,000,000","853,000,000","1,051,000,000","970,000,000","924,700,000","768,800,000","661,500,000","585,800,000","546,100,000","442,400,000","433,000,000","431,500,000","380,100,000"
"			Raw Materials","2,581,000,000","2,440,000,000","2,388,000,000","2,366,000,000","1,898,000,000","1,720,000,000","1,395,000,000","1,312,000,000","1,344,000,000","1,315,000,000","1,312,000,000","1,593,000,000","1,732,000,000","1,875,000,000","1,883,000,000","1,654,000,000","1,274,000,000","1,228,000,000","1,056,000,000","860,000,000","738,000,000","665,000,000","618,000,000","525,000,000","535,000,000","503,000,000",,,,,,,,,,,,,,,
"			Work in Process","143,000,000","104,000,000","104,000,000","114,000,000","151,000,000","205,000,000","200,000,000","178,000,000","167,000,000","150,000,000","161,000,000","173,000,000","168,000,000","173,000,000","207,000,000","128,000,000","165,000,000","169,000,000","157,000,000","140,000,000","112,000,000","156,000,000","160,000,000","214,000,000","205,000,000","160,000,000",,,,,,,,,,,,,,,
"			Finished Goods","3,121,000,000","2,762,000,000","2,842,000,000","2,742,000,000","2,298,000,000","2,247,000,000","1,743,000,000","1,638,000,000","1,436,000,000","1,258,000,000","1,247,000,000","1,377,000,000","1,509,000,000","1,533,000,000","1,737,000,000","1,590,000,000","1,179,000,000","1,125,000,000","1,077,000,000","926,000,000","843,000,000","720,000,000","634,000,000","603,000,000","570,000,000","529,000,000",,,,,,,,,,,,,,,
"		Prepaid Assets",,,,"806,000,000","980,000,000","874,000,000","747,000,000","633,000,000","1,546,000,000","908,000,000","1,865,000,000","2,143,000,000","2,162,000,000","1,479,000,000","2,277,000,000","1,505,000,000","1,194,000,000","1,324,000,000","991,000,000","657,000,000","618,000,000","654,000,000","687,000,000","695,000,000","752,000,000","791,000,000",,,,,,,,,,,,,,,
