name,ttm,12/31/2025,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
"Total Revenue","95,449,000,000","93,925,000,000","91,854,000,000","91,471,000,000","86,392,000,000","79,474,000,000","70,372,000,000","67,161,000,000","64,661,000,000","63,525,000,000","62,799,000,000","63,056,000,000","66,683,000,000","66,415,000,000","65,492,000,000","66,504,000,000","57,838,000,000","43,232,000,000","43,251,000,000","39,474,000,000","35,137,000,000","32,562,000,000","29,261,000,000","26,971,000,000","25,112,000,000","23,512,000,000","25,479,000,000","25,093,000,000","22,348,000,000","20,917,000,000","20,337,000,000","19,067,000,000","28,472,400,000","25,020,700,000","21,970,000,000","19,607,900,000","17,802,700,000","15,242,400,000","13,007,000,000","11,485,200,000","9,290,800,000","8,056,700,000"
"	Operating Revenue","95,449,000,000","93,925,000,000","91,854,000,000","91,471,000,000","86,392,000,000","79,474,000,000","70,372,000,000","67,161,000,000","64,661,000,000","63,525,000,000","62,799,000,000","63,056,000,000","66,683,000,000","66,415,000,000","65,492,000,000","66,504,000,000","57,838,000,000","43,232,000,000","43,251,000,000","39,474,000,000","35,137,000,000","32,562,000,000","29,261,000,000","26,971,000,000","25,112,000,000","23,512,000,000","25,479,000,000","25,093,000,000","22,348,000,000","20,917,000,000","20,337,000,000","19,067,000,000","28,472,400,000","25,020,700,000","21,970,000,000","19,607,900,000","17,802,700,000","15,242,400,000","13,007,000,000","11,485,200,000","9,290,800,000","8,056,700,000"
"Cost of Revenue","43,852,000,000","43,066,000,000","41,744,000,000","41,881,000,000","40,576,000,000","37,075,000,000","31,797,000,000","30,132,000,000","29,381,000,000","28,796,000,000","28,222,000,000","28,731,000,000","31,238,000,000","31,243,000,000","31,291,000,000","31,593,000,000","26,575,000,000","20,099,000,000","20,351,000,000","18,038,000,000","15,762,000,000","14,176,000,000","12,674,000,000","12,379,000,000","11,497,000,000","10,750,000,000","10,226,000,000","10,326,000,000","8,318,000,000","7,618,000,000","7,585,000,000","7,216,000,000","12,451,100,000","10,805,600,000","9,277,700,000","8,361,000,000","7,725,900,000","6,695,700,000","5,626,500,000","3,896,200,000","3,331,100,000","2,857,500,000"
"Gross Profit","51,597,000,000","50,859,000,000","50,110,000,000","49,590,000,000","45,816,000,000","42,399,000,000","38,575,000,000","37,029,000,000","35,280,000,000","34,729,000,000","34,577,000,000","34,325,000,000","35,445,000,000","35,172,000,000","34,201,000,000","34,911,000,000","31,263,000,000","23,133,000,000","22,900,000,000","21,436,000,000","19,375,000,000","18,386,000,000","16,587,000,000","14,592,000,000","13,615,000,000","12,762,000,000","15,253,000,000","14,767,000,000","14,030,000,000","13,299,000,000","12,752,000,000","11,851,000,000","16,021,300,000","14,215,100,000","12,692,300,000","11,246,900,000","10,076,800,000","8,546,700,000","7,380,500,000","7,589,000,000","5,959,700,000","5,199,200,000"
"Operating Expense","37,476,000,000","37,368,000,000","37,190,000,000","36,677,000,000","34,459,000,000","31,237,000,000","28,453,000,000","26,738,000,000","25,170,000,000","24,453,000,000","24,773,000,000","24,613,000,000","25,864,000,000","25,467,000,000","25,089,000,000","25,278,000,000","22,931,000,000","15,089,000,000","15,941,000,000","14,266,000,000","12,873,000,000","12,464,000,000","11,178,000,000","9,605,000,000","9,096,000,000","8,739,000,000","11,251,000,000","11,211,000,000","11,158,000,000","10,347,000,000","10,136,000,000","9,179,000,000","12,820,100,000","11,308,600,000","10,055,200,000","8,915,300,000","7,832,100,000","6,763,800,000","6,020,500,000","6,445,700,000","5,139,100,000","4,462,100,000"
"	Selling General and Administrative","37,476,000,000","37,368,000,000","37,190,000,000","36,677,000,000","34,459,000,000","31,237,000,000","28,453,000,000","26,738,000,000","25,170,000,000","24,453,000,000","24,773,000,000","24,613,000,000","25,772,000,000","25,357,000,000","24,970,000,000","25,145,000,000","22,814,000,000","15,026,000,000","15,877,000,000","14,208,000,000","12,711,000,000","12,314,000,000","11,031,000,000","9,460,000,000","8,958,000,000","8,574,000,000","11,104,000,000","11,018,000,000","9,924,000,000","9,241,000,000","9,063,000,000","8,133,000,000","11,243,600,000","9,864,400,000","8,840,300,000","7,880,800,000","6,948,100,000","5,991,800,000","5,391,200,000","5,882,700,000","4,738,400,000","4,171,300,000"
"	Depreciation Amortization Depletion",,,,,,,,,,,"70,000,000","75,000,000","92,000,000","110,000,000","119,000,000","133,000,000","117,000,000","63,000,000","64,000,000","58,000,000","162,000,000","150,000,000","147,000,000","145,000,000","138,000,000","165,000,000","147,000,000","193,000,000","1,234,000,000","1,106,000,000","1,073,000,000","1,046,000,000","1,576,500,000","1,444,200,000","1,214,900,000","1,034,500,000","884,000,000","772,000,000","629,300,000","563,000,000","400,700,000","290,800,000"
"		Depreciation & amortization",,,,,,,,,,,"70,000,000","75,000,000","92,000,000","110,000,000","119,000,000","133,000,000","117,000,000","63,000,000","64,000,000","58,000,000","162,000,000","150,000,000","147,000,000","145,000,000","138,000,000","165,000,000","147,000,000","193,000,000","1,234,000,000","1,106,000,000","1,073,000,000","1,046,000,000","1,576,500,000","1,444,200,000","1,214,900,000","1,034,500,000","884,000,000","772,000,000","629,300,000","563,000,000","400,700,000","290,800,000"
"			Amortization",,,,,,,,,,,"70,000,000","75,000,000","92,000,000","110,000,000","119,000,000","133,000,000","117,000,000","63,000,000","64,000,000","58,000,000","162,000,000","150,000,000","147,000,000","145,000,000","138,000,000","165,000,000","147,000,000","193,000,000",,,,,,,,,,,,,,
"				Amortization of Intangibles",,,,,,,,,,,"70,000,000","75,000,000","92,000,000","110,000,000","119,000,000","133,000,000","117,000,000","63,000,000","64,000,000","58,000,000","162,000,000","150,000,000","147,000,000","145,000,000","138,000,000","165,000,000","147,000,000","193,000,000",,,,,,,,,,,,,,
